AAEC,1264,Peace Economics,Ellerbrock,70061,3,3.59,13,61.5,38.5,0.0,0.0,0.0,0
ACIS,1504,Intro to Bus Analytics & BI,Fan,70067,3,3.23,15,33.3,66.7,0.0,0.0,0.0,0
ACIS,1504,Intro to Bus Analytics & BI,Fan,70068,3,3.05,19,26.3,47.4,26.3,0.0,0.0,0
ACIS,2116,Principles of Accounting,Parlier,70069,3,2.52,25,20.0,32.0,32.0,8.0,8.0,6
ACIS,3414,"Auditing, Governance & Ethics",Martin,70071,3,3.24,23,56.5,26.1,8.7,8.7,0.0,0
ACIS,5574,Healthcare Data Management,Sheetz,70076,3,3.56,54,57.4,42.6,0.0,0.0,0.0,0
AFST,1714,Intro African American Studies,Jamerson,72047,3,3.23,11,36.4,63.6,0.0,0.0,0.0,0
ALS,2304,Animal Physiology and Anatomy,Denbow,70102,4,3.07,15,40.0,26.7,33.3,0.0,0.0,0
AOE,3104,Aircraft Performance,Crede,70113,3,3.31,16,56.3,31.3,6.3,0.0,6.3,1
AOE,2074,Computational Methods,Sudalagunta,72050,2,3.01,20,20.0,75.0,0.0,0.0,5.0,1
APSC,1454,Intro Animal & Poultry Science,Wood,70177,3,2.62,21,9.5,38.1,42.9,9.5,0.0,0
APSC,1464,Animal & Poultry Science Lab,Garcia,70178,1,2.95,21,19.0,57.1,23.8,0.0,0.0,0
ARCH,1024,Innovative Design Thinking,Sullivan,70188,3,3.64,11,63.6,36.4,0.0,0.0,0.0,0
ARCH,1034,Seeing Design,Albright,70189,3,3.35,11,27.3,72.7,0.0,0.0,0.0,0
ARCH,1116,Qualifying Design Laboratory,Paget,70190,3,3.2,38,15.8,84.2,0.0,0.0,0.0,0
ARCH,5756,Advanced Design Laboratory,Thompson,70198,3,3.77,12,75.0,25.0,0.0,0.0,0.0,0
ART,2386,Surv Hist West Art,Moseley Christian,72079,3,2.79,14,50.0,21.4,7.1,0.0,21.4,2
AT,0194,AT Internship,Kohl,70220,3,3.33,14,50.0,50.0,0.0,0.0,0.0,0
BC,2014,Construction Principles I,Goldsmith,70221,3,3.31,44,50.0,40.9,9.1,0.0,0.0,0
BCHM,2024,Concepts of Biochemistry,Klemba,72058,3,3.05,29,34.5,48.3,10.3,6.9,0.0,1
BIOL,2984,SS:Cancer:Causes & Treatments,Walker,72103,3,3.36,11,54.5,27.3,18.2,0.0,0.0,0
