ACIS,1504,Intro to Bus Analytics & BI,Martin,40252,3,2.91,31,32.3,35.5,25.8,0.0,6.5,3
ACIS,2116,Principles of Accounting,Sharp,40253,3,2.67,39,28.2,33.3,30.8,0.0,7.7,2
AFST,1714,Intro African American Studies,Seniors,40381,3,4.0,19,100.0,0.0,0.0,0.0,0.0,0
AHRM,2404,Consumer Rights,Fisher,40254,3,3.66,24,75.0,20.8,4.2,0.0,0.0,0
AINS,1104,Intro American Indian Studies,Cook,40382,3,3.95,19,94.7,5.3,0.0,0.0,0.0,0
ALS,3954,Study Abroad,Abaye,40389,3,3.86,11,100.0,0.0,0.0,0.0,0.0,0
APS,1704,Intro to Appalachian Studies,Laney,40256,3,3.78,15,80.0,20.0,0.0,0.0,0.0,0
ART,2386,Surv Hist West Art,Moseley Christian,40258,3,3.39,20,55.0,30.0,15.0,0.0,0.0,0
BC,1214,Intro to Bldg Constr I,Mills,40387,3,2.68,24,12.5,41.7,41.7,4.2,0.0,1
BIOL,1105,Principles of Biology,Lipscomb,40259,3,3.15,34,29.4,61.8,2.9,5.9,0.0,0
BIOL,1106,Principles of Biology,Hogan,40260,3,3.06,36,33.3,44.4,16.7,5.6,0.0,0
BIOL,2134,Cell Function Differentiation,Walker,40261,3,3.22,25,32.0,56.0,12.0,0.0,0.0,0
BIOL,2704,Evolutionary Biology,Sheppard,40262,3,2.4,28,7.1,50.0,25.0,10.7,7.1,0
BIT,2405,Quantitative Methods,Major,40263,3,2.76,33,18.2,48.5,27.3,6.1,0.0,3
BIT,2405,Quantitative Methods,Major,40264,3,2.76,30,16.7,53.3,23.3,3.3,3.3,3
BIT,2406,Quantitative Methods,Nottingham,40265,3,3.25,32,37.5,53.1,9.4,0.0,0.0,1
BIT,2406,Quantitative Methods,Nottingham,40266,3,2.91,33,9.1,78.8,9.1,0.0,3.0,1
BIT,3414,Operations & Supply Chain Mgt,Deane,40267,3,3.01,42,35.7,42.9,16.7,0.0,4.8,0
BIT,3424,Intro Bus Analytics Modeling,Abrahams,40268,3,3.56,19,57.9,36.8,5.3,0.0,0.0,0
BIT,3434,Adv Modeling for Bus Analytics,Rakes,40269,3,3.6,24,66.7,25.0,8.3,0.0,0.0,1
BIT,3444,Adv Bus Comp and App,Wang,40270,3,3.44,18,72.2,16.7,5.6,5.6,0.0,2
BIT,4514,Database Technology for Bus,Zobel,40272,3,3.33,17,35.3,58.8,5.9,0.0,0.0,0
BIT,4524,Systems Development,Shen,40385,3,3.62,17,58.8,41.2,0.0,0.0,0.0,0
BIT,4514,Database Technology for Bus,Zobel,40414,3,2.96,16,18.8,62.5,18.8,0.0,0.0,0
BIT,4444,Web-Based DSS,Seref,40418,3,3.46,10,50.0,40.0,10.0,0.0,0.0,0
BIT,3414,Operations & Supply Chain Mgt,Deane,40438,3,3.16,29,37.9,37.9,24.1,0.0,0.0,0
BIT,3954,Study Abroad,Matheson,40392,3,4.0,14,100.0,0.0,0.0,0.0,0.0,0
CEE,3604,Intro Transport Engr,Katz,40273,3,3.37,40,57.5,22.5,20.0,0.0,0.0,0
CEE,3804,Computer Applications for CEE,Abbas,40274,3,3.72,13,76.9,23.1,0.0,0.0,0.0,0
CHEM,1035,General Chemistry,Arachchige,40360,3,2.73,22,36.4,18.2,31.8,9.1,4.5,0
CHEM,2535,Organic Chemistry,Bump,40361,3,2.56,24,25.0,33.3,29.2,4.2,8.3,0
CLA,2444,Greek and Roman Myth,Phillips,40275,3,3.83,20,80.0,20.0,0.0,0.0,0.0,1
COMM,1014,Introduction to Communication,Kuypers,40276,3,2.72,18,27.8,50.0,0.0,11.1,11.1,0
COMM,2004,Public Speaking,Purcell,40277,3,3.45,15,73.3,20.0,0.0,0.0,6.7,0
COMM,2004,Public Speaking,Fink,40278,3,3.56,17,64.7,35.3,0.0,0.0,0.0,0
COMM,2004,Public Speaking,Quesenberry,40279,3,3.38,16,62.5,31.3,0.0,0.0,6.3,0
COMM,2004,Public Speaking,Sowder,40280,3,3.75,17,82.4,17.6,0.0,0.0,0.0,0
COMM,2044,Principles of Public Relations,Myers,40281,3,3.42,10,40.0,50.0,10.0,0.0,0.0,0
COMM,2124,Intro Comm Research,Ivory,40283,3,3.2,10,40.0,40.0,20.0,0.0,0.0,0
COMM,3124,Interpersonal Communication,Shinault,40285,3,3.14,13,38.5,46.2,15.4,0.0,0.0,0
COMM,4024,Communication Law,Hopkins,40288,3,2.57,26,0.0,57.7,42.3,0.0,0.0,2
COMM,4044,International Communication,Jenkins,40289,3,3.21,10,40.0,50.0,10.0,0.0,0.0,0
COMM,2084,Media and Society,Mackay,40405,3,3.31,12,41.7,50.0,8.3,0.0,0.0,0
COMM,2004,Public Speaking,Stinson,40441,3,3.39,17,47.1,47.1,5.9,0.0,0.0,0
CONS,2304,Consumer and Family Finances,Solis,40290,3,3.61,25,68.0,28.0,0.0,4.0,0.0,1
CRIM,4454,Topics in Criminology,Peguero,40386,3,3.84,14,85.7,14.3,0.0,0.0,0.0,0
EDCI,3954,Study Abroad,Hicks,40393,3,4.0,10,100.0,0.0,0.0,0.0,0.0,0
EDEL,6914,Problems in Education,Price,40292,3,4.0,21,100.0,0.0,0.0,0.0,0.0,0
EDEP,2444,Motivating Yourself and Others,Jones,40293,3,3.87,15,86.7,13.3,0.0,0.0,0.0,0
ENGE,1215,Foundations of Engineering,Grohs,40362,2,3.56,27,74.1,18.5,0.0,3.7,3.7,0
ENGE,1215,Foundations of Engineering,Lee,40363,2,3.48,24,66.7,25.0,8.3,0.0,0.0,1
ENGL,1604,Introduction to Poetry,Neilan,40294,3,3.41,22,45.5,54.5,0.0,0.0,0.0,0
ENGL,1614,Introduction to Short Fiction,Kinder,40295,3,3.28,22,45.5,45.5,9.1,0.0,0.0,0
ENGL,1654,Intro to Science Fiction,Barton,40298,3,3.67,25,76.0,16.0,8.0,0.0,0.0,0
ENGL,1704,The Harry Potter Phenomenon,Baker,40299,3,3.66,20,85.0,10.0,0.0,0.0,5.0,0
ENGL,2744,Intro to Creative Writing,Voros,40300,3,3.31,17,47.1,35.3,17.6,0.0,0.0,0
ENGL,3764,Technical Writing,Adams,40301,3,3.72,20,75.0,25.0,0.0,0.0,0.0,0
ENGL,3764,Technical Writing,Garahan,40302,3,3.86,17,88.2,11.8,0.0,0.0,0.0,0
ENGL,3764,Technical Writing,Homer,40303,3,3.43,20,65.0,25.0,10.0,0.0,0.0,0
ENGL,3764,Technical Writing,Natishan,40304,3,3.89,20,95.0,5.0,0.0,0.0,0.0,0
ENGL,3764,Technical Writing,Oakey,40305,3,3.65,19,78.9,21.1,0.0,0.0,0.0,0
ENGL,3764,Technical Writing,Ruccolo,40306,3,3.99,20,100.0,0.0,0.0,0.0,0.0,0
ENGL,3764,Technical Writing,Scarff,40307,3,3.74,17,70.6,29.4,0.0,0.0,0.0,0
ENGL,3774,Business Writing,Covington,40308,3,3.6,22,81.8,13.6,0.0,0.0,4.5,0
ENGL,3774,Business Writing,Frost,40309,3,3.3,19,31.6,68.4,0.0,0.0,0.0,0
ENGL,3774,Business Writing,Murray,40310,3,3.64,21,61.9,33.3,4.8,0.0,0.0,0
ENGL,3774,Business Writing,Priestley,40311,3,3.49,20,80.0,10.0,5.0,0.0,5.0,0
ENGL,3774,Business Writing,Truscello,40312,3,3.57,12,75.0,16.7,8.3,0.0,0.0,0
ENGL,3764,Technical Writing,Mueller,40445,3,3.39,10,60.0,40.0,0.0,0.0,0.0,0
ENSC,1016,Found Envrion Science,Eick,40313,3,3.41,18,61.1,27.8,5.6,0.0,5.6,0
ESM,2104,Statics,Lord,40406,3,2.97,29,31.0,44.8,20.7,0.0,3.4,0
ESM,2204,Mechanics of Deformable Bodies,Aidi,40408,3,2.54,13,23.1,30.8,30.8,7.7,7.7,0
FIN,3054,Legal & Ethical Env Bus,Malone,40413,3,3.01,31,22.6,61.3,16.1,0.0,0.0,1
FIN,4984,SS: Wells Fargo Practicum,Hart,40395,3,4.0,13,100.0,0.0,0.0,0.0,0.0,0
FMD,4244,New York Fashion Study Tour,Gaskill,40396,3,4.0,11,100.0,0.0,0.0,0.0,0.0,0
GEOG,3254,Geography of East Asia,Boyer,40318,3,3.86,17,88.2,11.8,0.0,0.0,0.0,1
GEOG,3954,Study Abroad,Kolivras,40365,3,3.95,12,100.0,0.0,0.0,0.0,0.0,0
GEOG,3954,Study Abroad,Weaver,40366,3,3.95,12,100.0,0.0,0.0,0.0,0.0,0
HD,1004,Human Development I,Komelski,40373,3,3.77,33,90.9,6.1,0.0,0.0,3.0,0
HD,2314,Human Sexuality,Natwick,40374,3,3.86,17,88.2,11.8,0.0,0.0,0.0,0
HIST,1024,Ancient History,Becker,40320,3,3.62,20,70.0,25.0,5.0,0.0,0.0,0
HIST,1116,History of the United States,Slough,40322,3,3.73,15,93.3,0.0,0.0,0.0,6.7,1
HIST,3544,World War II,Nichols,40326,3,3.26,29,44.8,44.8,10.3,0.0,0.0,0
HNFE,2204,Medical Terminology,Eaton,40327,3,3.91,50,98.0,2.0,0.0,0.0,0.0,0
HORT,2184,Plants Places Culture Globally,Niemiera,40329,3,4.0,10,100.0,0.0,0.0,0.0,0.0,0
HORT,4324,Greenhouse Management,Scoggins,40380,3,3.52,13,53.8,46.2,0.0,0.0,0.0,0
HTM,3954,HTM Study Abroad,Duetsch,40368,3,4.0,12,100.0,0.0,0.0,0.0,0.0,0
MGT,3064,Cornerstones Entrepreneurship,Townsend,40375,3,3.52,13,61.5,38.5,0.0,0.0,0.0,0
MGT,3304,Mgt Th & Lead Pract,Deck,40376,3,2.48,32,18.8,25.0,43.8,9.4,3.1,1
MGT,3954,Study Abroad,Clevenger,40432,3,3.95,20,95.0,5.0,0.0,0.0,0.0,0
MGT,3954,Study Abroad,Bluey,40442,3,3.75,17,76.5,23.5,0.0,0.0,0.0,0
MKTG,3104,Marketing Management,Wertalik,40337,3,3.73,84,83.3,13.1,1.2,1.2,1.2,0
MKTG,4604,Retail Management,Reilly,40338,3,3.72,17,82.4,17.6,0.0,0.0,0.0,0
MUS,1005,Theory/Fundamentals,Irrera,40339,3,3.45,41,68.3,19.5,4.9,2.4,4.9,0
MUS,1104,Music Appreciation,Hutchins,40340,3,3.76,110,82.7,12.7,3.6,0.9,0.0,0
MUS,1104,Music Appreciation,Wilkens-Reed,40341,3,3.82,111,88.3,8.1,2.7,0.9,0.0,0
PHIL,2304,Global Ethics,Shepard,40342,3,3.4,33,69.7,12.1,9.1,3.0,6.1,1
PHS,1514,Personal Health,Redican,40343,3,4.0,88,100.0,0.0,0.0,0.0,0.0,0
PHS,2004,Introduction to Public Health,Redican,40344,3,4.0,26,100.0,0.0,0.0,0.0,0.0,0
PHS,3534,Drug Education,Redican,40345,3,4.0,72,100.0,0.0,0.0,0.0,0.0,0
PHYS,2205,General Physics,Takeuchi,40346,3,3.58,30,70.0,20.0,10.0,0.0,0.0,1
PM,2674,Multifamily Prop Mgnt & OP,Hopkins,40347,3,3.36,16,68.8,18.8,6.3,0.0,6.3,1
PSCI,3984,SS: Cyber Warfare,Dupuy,40348,3,3.63,10,60.0,40.0,0.0,0.0,0.0,0
PSCI,3116,Selected World Problems,Peters,40335,3,3.36,17,64.7,23.5,5.9,0.0,5.9,0
PSYC,2074,Animal Behavior,Hoffman,40349,3,3.71,24,70.8,29.2,0.0,0.0,0.0,0
REAL,2984,SS: Prncples Real Est Sales,Everett,40401,1,3.84,10,90.0,10.0,0.0,0.0,0.0,0
RLCL,2464,Religion and Science,Ellerbrock,40351,3,3.74,16,81.3,18.8,0.0,0.0,0.0,0
SBIO,3984,SS: Glbl Issues in Sustainblty,Quesada,40420,3,3.97,11,100.0,0.0,0.0,0.0,0.0,0
SOC,2004,Social Problems,Vogt Yuan,40377,3,3.46,17,70.6,17.6,5.9,5.9,0.0,0
SPAN,3954,Study Abroad,Hesp,40371,3,4.0,11,100.0,0.0,0.0,0.0,0.0,0
SPAN,3514,Span for Medical Professions,Cana Jimenez,40353,3,3.79,11,81.8,18.2,0.0,0.0,0.0,0
STS,2054,Engineering Cultures,Brinkman,40354,3,3.62,13,69.2,23.1,7.7,0.0,0.0,0
WGS,1824,Intro Women's & Gender Studies,King,40379,3,2.75,17,11.8,52.9,35.3,0.0,0.0,1
