department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
ACIS,1504,Intro Bus Info Sys,Lacoste,60068,3,3.28,31,38.7,51.6,6.5,3.2,0.0,0
ACIS,2115,Principles of Accounting,Almond,60070,3,2.37,38,18.4,13.2,55.3,7.9,5.3,0
ACIS,2115,Principles of Accounting,Almond,60072,3,2.54,35,11.4,40.0,40.0,5.7,2.9,0
ACIS,2116,Principles of Accounting,Almond,60073,3,3.13,16,43.8,37.5,12.5,6.3,0.0,1
ACIS,2116,Principles of Accounting,Almond,60074,3,2.45,20,15.0,30.0,40.0,10.0,5.0,0
ACIS,2116,Principles of Accounting,Salbador,60075,3,2.88,13,30.8,30.8,38.5,0.0,0.0,0
ACIS,2954,Business Study Abroad,Salbador,60076,3,3.76,32,87.5,12.5,0.0,0.0,0.0,0
ACIS,3115,Intermediate Financial Acct,Easterwood,60077,3,2.42,19,21.1,26.3,31.6,15.8,5.3,1
ACIS,3314,Tax Impact on Decisions,Hicks,60078,3,3.17,21,28.6,57.1,14.3,0.0,0.0,0
ACIS,4314,Principles of Taxation,Hicks,60086,3,3.52,17,58.8,41.2,0.0,0.0,0.0,0
ACIS,4414,Financial Statement Auditing,Popova,60087,3,3.32,20,40.0,55.0,5.0,0.0,0.0,0
ACIS,5124,Govt & Nfp Acctg,Easterwood,60089,3,3.47,12,50.0,50.0,0.0,0.0,0.0,0
ACIS,5614,Implementing Mgt Controls,Bhattacharjee,61826,2,3.74,11,81.8,18.2,0.0,0.0,0.0,0
ACIS,5414,Auditing Theory,Jenkins,62619,3,3.47,10,50.0,50.0,0.0,0.0,0.0,0
AFST,1714,Intro African American Studies,Thompson,61598,3,3.28,14,42.9,42.9,7.1,7.1,0.0,0
AOE,2104,Intro to AE,Crede,61599,3,3.13,10,40.0,30.0,30.0,0.0,0.0,0
AOE,3094,Materials for Aero & Ocean Eng,Corcoran,60121,3,3.57,11,54.5,45.5,0.0,0.0,0.0,0
ARCH,1115,Qualifying Design Laboratory,Sharma,60185,3,3.27,34,26.5,73.5,0.0,0.0,0.0,0
ARCH,3514,TS:Drawing for Design,Sharma,60186,3,3.56,13,53.8,46.2,0.0,0.0,0.0,0
ARCH,4076,Building Structures,Cortes,60188,3,3.21,10,40.0,50.0,10.0,0.0,0.0,0
ARCH,5755,Advanced Design Laboratory,Pittman,60201,3,3.82,13,100.0,0.0,0.0,0.0,0.0,0
ART,2385,Surv Hist West Art,Knoblauch,61608,3,3.11,27,37.0,48.1,7.4,7.4,0.0,0
BC,1214,Intro to BC I,Yauger,60227,3,3.08,20,20.0,65.0,15.0,0.0,0.0,0
BC,1224,Intro to BC II,Yauger,60228,3,2.86,20,20.0,55.0,20.0,5.0,0.0,0
BCHM,2024,Concepts of Biochemistry,Kennelly,60236,3,2.96,41,36.6,29.3,31.7,0.0,2.4,0
BIOL,1105,Principles of Biology,Voshell,60242,3,2.54,17,17.6,29.4,35.3,17.6,0.0,0
BIOL,2004,Genetics,Shokraii,60245,3,2.94,21,9.5,76.2,14.3,0.0,0.0,0
BIOL,2604,General Microbiology,Seyler,60246,3,2.94,33,36.4,36.4,18.2,6.1,3.0,0
BIOL,2614,Gen Microbiology Lab,Rodgers,60247,1,3.92,13,92.3,7.7,0.0,0.0,0.0,1
BIOL,1105,Principles of Biology,Rosenzweig,61609,3,2.66,43,11.6,55.8,25.6,7.0,0.0,0
BIT,2405,Quantitative Methods,Major,61611,3,2.35,39,5.1,48.7,33.3,5.1,7.7,4
BIT,2405,Quantitative Methods,Major,61612,3,2.36,14,0.0,50.0,42.9,0.0,7.1,1
BIT,2406,Quantitative Methods,Nottingham,61613,3,2.57,71,16.9,45.1,22.5,14.1,1.4,1
BIT,2406,Quantitative Methods,Nottingham,61614,3,2.46,64,18.8,28.1,37.5,14.1,1.6,1
BIT,3414,Operations & Supply Chain Mgt,Russell,61615,3,3.30,47,42.6,44.7,12.8,0.0,0.0,1
BIT,3414,Operations & Supply Chain Mgt,Russell,61616,3,3.30,45,44.4,46.7,8.9,0.0,0.0,0
