department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
AAEC,3954,Study Abroad,Geyer,60060,1,4.00,19,100.0,0.0,0.0,0.0,0.0,0
ACIS,1504,Intro Bus Info Sys,Easterwood,60067,3,2.15,12,8.3,33.3,33.3,25.0,0.0,0
ACIS,1504,Intro Bus Info Sys,Easterwood,60068,3,2.54,15,26.7,26.7,26.7,20.0,0.0,0
ACIS,2115,Principles of Accounting,Easterwood,60070,3,2.31,18,16.7,27.8,38.9,11.1,5.6,0
ACIS,2115,Principles of Accounting,Easterwood,60071,3,2.27,19,5.3,42.1,36.8,10.5,5.3,0
ACIS,2115,Principles of Accounting,Easterwood,60072,3,2.47,20,15.0,30.0,45.0,5.0,5.0,0
ACIS,2116,Principles of Accounting,Easterwood,60073,3,2.16,19,10.5,26.3,47.4,5.3,10.5,0
ACIS,2116,Principles of Accounting,Brozovsky,60074,3,2.62,19,5.3,52.6,42.1,0.0,0.0,0
ACIS,2116,Principles of Accounting,Easterwood,60075,3,2.67,18,22.2,50.0,11.1,11.1,5.6,0
ACIS,2504,Personal Computers in Business,Brown,60076,3,3.46,11,54.5,45.5,0.0,0.0,0.0,0
ACIS,2504,Personal Computers in Business,Brown,60077,3,3.33,12,41.7,50.0,8.3,0.0,0.0,0
ACIS,2504,Personal Computers in Business,Hicks,60078,3,3.27,22,31.8,63.6,4.5,0.0,0.0,0
ACIS,3115,Intermediate Financial Acct,Brozovsky,60080,3,2.57,24,16.7,33.3,41.7,8.3,0.0,0
ACIS,3115,Intermediate Financial Acct,Brozovsky,60081,3,2.18,17,5.9,29.4,52.9,5.9,5.9,0
ACIS,3314,Tax Impact on Decisions,Hicks,60082,3,2.42,25,20.0,36.0,28.0,4.0,12.0,0
ACIS,3504,Acct Sys and Controls,Easterwood,60083,3,2.58,19,10.5,47.4,31.6,10.5,0.0,0
ACIS,4114,Advanced Financial Accounting,Lobingier,60089,3,3.06,19,42.1,31.6,21.1,5.3,0.0,0
ACIS,4214,Cost Planning and Control,Brozovsky,60091,3,2.51,17,17.6,29.4,41.2,11.8,0.0,0
ACIS,4314,Principles of Taxation,Hicks,60092,3,3.16,27,33.3,59.3,3.7,3.7,0.0,0
ACIS,4414,Financial Statement Auditing,Jenkins,60093,3,2.74,21,19.0,47.6,28.6,4.8,0.0,0
ACIS,5124,Govt & Nfp Acctg,Lobingier,60096,3,3.48,11,45.5,54.5,0.0,0.0,0.0,0
ACIS,5514,Mgt Of Info Systems,Hicks,60097,3,3.84,12,91.7,8.3,0.0,0.0,0.0,0
ACIS,5614,Implementing Mgt Controls,Bhattacharjee,61503,2,3.67,18,72.2,27.8,0.0,0.0,0.0,0
AFST,1714,Intro African American Studies,Akoma,61353,3,2.90,21,42.9,23.8,23.8,4.8,4.8,0
ARCH,2984,SS:Qualifying Design Lab,Albright,61813,3,3.05,52,7.7,88.5,3.8,0.0,0.0,0
ARCH,4055,Envir Bldg Systems,Jones,60160,3,3.97,11,100.0,0.0,0.0,0.0,0.0,0
ARCH,4076,Building Structures,Cortes,60161,3,3.71,15,80.0,13.3,6.7,0.0,0.0,0
ARCH,5755,Advanced Design Laboratory,Weiner,60185,1,3.33,22,36.4,59.1,0.0,0.0,4.5,0
