department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
CHE,4014,Chem Engr Laboratory,Martin,60305,5,3.67,22,72.7,27.3,0.0,0.0,0.0,0
CHEM,1035,General Chemistry,Hermann,60312,3,2.55,42,19.0,35.7,31.0,7.1,7.1,1
CHEM,1036,General Chemistry,Wirgau,60313,3,2.48,45,20.0,35.6,26.7,8.9,8.9,0
CHEM,1045,General Chemistry Lab,Amateis,60314,1,3.27,11,63.6,9.1,18.2,9.1,0.0,0
CHEM,1045,General Chemistry Lab,Amateis,60315,1,3.57,11,63.6,27.3,9.1,0.0,0.0,0
CHEM,1046,General Chemistry Lab,Amateis,60316,1,3.21,14,28.6,64.3,7.1,0.0,0.0,0
CHEM,1046,General Chemistry Lab,Amateis,60317,1,3.57,11,54.5,45.5,0.0,0.0,0.0,0
CHEM,2114,Analytical Chemistry,Long,60318,3,3.07,38,34.2,50.0,7.9,7.9,0.0,0
CHEM,2124,Analytical Chem Lab,Long,60319,1,3.09,14,28.6,64.3,0.0,0.0,7.1,0
CHEM,2124,Analytical Chem Lab,Long,60320,1,2.74,12,0.0,66.7,33.3,0.0,0.0,0
CHEM,2514,Survey of Organic Chemistry,Hermann,60321,3,2.48,16,31.3,12.5,31.3,25.0,0.0,0
CHEM,2545,Organic Chemistry Laboratory,Santos,60323,1,3.05,20,40.0,35.0,20.0,0.0,5.0,1
CHEM,2545,Organic Chemistry Laboratory,Santos,60325,1,2.81,21,23.8,42.9,28.6,4.8,0.0,0
CHEM,2545,Organic Chemistry Laboratory,Santos,60328,1,2.69,12,16.7,50.0,25.0,0.0,8.3,0
CHEM,3615,Physical Chemistry,Marand,60329,3,2.57,15,20.0,33.3,40.0,6.7,0.0,0
CHEM,4554,Drug Chemistry,Berg,60330,3,3.46,24,37.5,62.5,0.0,0.0,0.0,0
CHEM,4615,Phys Chem Life Sci,Marand,62032,3,1.56,21,9.5,19.0,19.0,23.8,28.6,0
CLA,3954,Study Abroad,Becker,60343,3,3.90,25,96.0,4.0,0.0,0.0,0.0,0
COMM,2004,Public Speaking,Howell,60350,3,3.23,16,37.5,50.0,12.5,0.0,0.0,0
COMM,2004,Public Speaking,Jenkins,60351,3,3.07,15,26.7,60.0,13.3,0.0,0.0,0
COMM,2004,Public Speaking,Howell,60355,3,2.96,15,26.7,46.7,26.7,0.0,0.0,0
COMM,2004,Public Speaking,Stallings,60356,3,3.19,17,52.9,35.3,5.9,5.9,0.0,0
COMM,4054,Public Relations Case Studies,Chen,62077,3,3.69,18,72.2,27.8,0.0,0.0,0.0,0
COMM,4304,Communication Campaigns,Tedesco,62078,3,3.89,18,94.4,5.6,0.0,0.0,0.0,0
COMM,4984,SS:Intl Perspect Media Effects,Chen,62130,3,3.42,18,50.0,38.9,11.1,0.0,0.0,0
COMM,2034,Visual Media,Watson,61923,3,3.30,22,59.1,27.3,4.5,0.0,9.1,0
COMM,4024,Communications Law and Ethics,Hopkins,61916,3,2.58,19,5.3,63.2,26.3,0.0,5.3,1
COMM,3144,Advanced Media Writing,Cannon,61917,3,3.31,13,46.2,38.5,15.4,0.0,0.0,0
COMM,2124,Intro Comm Research,Magee,61930,3,2.54,16,12.5,43.8,25.0,18.8,0.0,0
COMM,4044,International Communication,Magee,61932,3,3.11,22,27.3,50.0,22.7,0.0,0.0,0
COMM,1014,Intro to Comm Studies,Waggenspack,61370,3,2.61,18,5.6,61.1,22.2,11.1,0.0,1
COMM,2064,The Rhetorical Tradition,Kuypers,61371,3,2.45,15,26.7,40.0,6.7,6.7,20.0,0
COMM,2124,Intro Comm Research,Ivory,61373,3,2.97,19,26.3,47.4,21.1,0.0,5.3,0
COMM,3124,Interpersonal Communication,Preston,61374,3,3.15,20,65.0,10.0,15.0,5.0,5.0,0
COMM,4014,Media Effects,Ivory,61376,3,3.15,24,45.8,29.2,16.7,8.3,0.0,0
CS,1604,Introduction to the Internet,Barnette,61382,1,3.49,19,63.2,31.6,0.0,0.0,5.3,0
CS,1044,Intro Prog in C,Leidig,60362,3,3.52,19,63.2,36.8,0.0,0.0,0.0,0
CS,1054,Intro to Programming in Java,Allevato,60363,3,3.17,18,33.3,55.6,11.1,0.0,0.0,0
CS,1114,Intro to Software Design,Allevato,60364,3,3.29,15,60.0,26.7,0.0,6.7,6.7,0
CS,2505,Intro Computer Organization,McQuain,60365,3,2.96,20,30.0,40.0,20.0,10.0,0.0,2
CS,3114,Data Structures and Algorithms,McQuain,60368,3,2.02,16,18.8,6.3,43.8,18.8,12.5,1
ECE,3105,Electromagnetic Fields,Safaai-Jazi,60397,3,3.01,16,43.8,18.8,37.5,0.0,0.0,0
ECE,3504,Digital Design I,Thweatt,60398,4,2.56,14,14.3,42.9,35.7,7.1,0.0,0
ECE,3614,Intro Comm Systems,Jakubisin,60399,3,2.61,12,25.0,33.3,25.0,8.3,8.3,0
ECON,2005,Principles of Economics,Hou,60643,3,2.66,29,27.6,31.0,20.7,17.2,3.4,0
ECON,2005,Principles of Economics,Hallmann,60644,3,3.09,29,34.5,44.8,13.8,6.9,0.0,0
ECON,2006,Principles of Economics,Cothren,60646,3,2.61,19,21.1,31.6,36.8,5.3,5.3,0
ECON,2006,Principles of Economics,Poudyal,60647,3,2.20,22,9.1,31.8,40.9,13.6,4.5,0
ECON,3104,Microeconomic Theory,Ren,60648,3,2.67,26,23.1,34.6,30.8,7.7,3.8,0
ECON,3214,Money and Banking,Gebremariam,60649,3,2.72,17,17.6,58.8,17.6,0.0,5.9,0
EDCI,5104,Schooling in American Society,Garrison,60668,3,3.90,12,100.0,0.0,0.0,0.0,0.0,0
EDCI,5234,Adv C&I El/Mid Math,Kreye,60669,3,4.00,20,100.0,0.0,0.0,0.0,0.0,0
EDCI,5264,Comp and Cont Rdg,Mesmer,60670,3,3.76,12,83.3,16.7,0.0,0.0,0.0,0
EDCI,5414,Early Literacy Inst (PK-3),Barksdale,60671,3,4.00,13,100.0,0.0,0.0,0.0,0.0,0
EDCI,5124,Behavioral Aspects of Music,Parkes,61389,3,3.95,12,100.0,0.0,0.0,0.0,0.0,0
EDCI,5554,Educ Except Learners,Billingsley,61394,3,3.94,26,96.2,3.8,0.0,0.0,0.0,0
EDCO,5354,Addictions Counseling,Lawson,61943,3,4.00,14,100.0,0.0,0.0,0.0,0.0,0
EDCO,5604,GS:Systems Counseling,Bodenhorn,61944,3,4.00,19,100.0,0.0,0.0,0.0,0.0,0
EDCO,6534,DSM Application in Counseling,Ford,61951,3,3.83,19,84.2,15.8,0.0,0.0,0.0,0
EDCO,5204,Orient Profsnl Cslg,Day-Vines,61635,3,3.84,15,100.0,0.0,0.0,0.0,0.0,0
EDCO,5354,Addictions Counseling,Lambert,61636,3,4.00,10,100.0,0.0,0.0,0.0,0.0,0
EDEL,5604,GS:Instructnl Strateg Princpls,Noonan,61962,3,4.00,17,100.0,0.0,0.0,0.0,0.0,0
EDEL,6914,PR:Adv Tpcs in School Finance,Glenn,61969,3,3.80,21,76.2,23.8,0.0,0.0,0.0,0
EDEL,6914,PR:Adv Tpcs in School Finance,Russo,61978,3,3.95,12,100.0,0.0,0.0,0.0,0.0,0
EDEP,5114,Advanced Educ Psych,Sherman,61807,3,3.47,13,69.2,15.4,15.4,0.0,0.0,0
EDHE,5284,Practicum,Hirt,61891,3,3.64,10,70.0,30.0,0.0,0.0,0.0,0
EDHE,6114,Staffing Practices in Edu,Janosik,61893,3,3.67,11,72.7,27.3,0.0,0.0,0.0,0
EDIT,5564,TS: Education and the Web,Potter,61854,1,4.00,11,100.0,0.0,0.0,0.0,0.0,0
EDIT,5564,TS: Intro to Computers,Potter,61855,1,3.97,10,100.0,0.0,0.0,0.0,0.0,0
EDIT,5564,TS: Intro to IT,Potter,61856,1,4.00,10,100.0,0.0,0.0,0.0,0.0,0
EDIT,5774,PR: Instr Tech in Context,Potter,61865,2,3.97,10,100.0,0.0,0.0,0.0,0.0,0
ENGE,2314,Engrg Prob Solving: C++,Walker,61442,2,1.99,17,17.6,17.6,35.3,11.8,17.6,1
ENGE,1024,Engineering Exploration,Gregg,62119,2,2.46,20,5.0,60.0,25.0,5.0,5.0,0
ENGE,1024,Engineering Exploration,Gregg,60717,2,2.50,28,14.3,32.1,50.0,0.0,3.6,0
ENGL,1106,Freshman English,Ruccolo,60720,3,2.84,10,50.0,20.0,10.0,10.0,10.0,0
ENGL,4044,Language and Society,Dannenberg,60722,3,3.49,17,76.5,11.8,0.0,11.8,0.0,0
ENGL,4165,Shakespeare,Anderson,60723,3,3.06,21,47.6,33.3,9.5,4.8,4.8,0
ENGL,3764,Technical Writing,Collier,62151,3,3.32,18,44.4,50.0,5.6,0.0,0.0,0
ENGL,1614,Introduction to Short Fiction,Siegle,61444,3,2.94,31,41.9,25.8,25.8,3.2,3.2,1
ENGL,2515,Survey of British Literature,Swenson,61445,3,3.49,17,58.8,35.3,5.9,0.0,0.0,0
ENGL,3544,Literature and Cinema,Bliss,61447,3,2.80,11,9.1,63.6,18.2,0.0,9.1,0
ENGL,3764,Technical Writing,Kinder,61448,3,3.15,18,50.0,33.3,5.6,5.6,5.6,1
ENGL,3764,Technical Writing,Mooney,61449,3,3.73,18,88.9,5.6,0.0,5.6,0.0,1
ENGL,3764,Technical Writing,Canter,61450,3,3.06,18,22.2,72.2,0.0,0.0,5.6,0
ENGL,3764,Technical Writing,Mengert,61451,3,3.62,18,77.8,16.7,5.6,0.0,0.0,0
ENGL,1106,Freshman English,Harvill,61909,3,3.72,21,81.0,14.3,4.8,0.0,0.0,0
ENGL,1604,Introduction to Poetry,Voros,61911,3,2.85,36,36.1,30.6,25.0,0.0,8.3,0
ENT,2004,Insects and Human Society,Voshell,62038,3,3.20,34,50.0,26.5,17.6,2.9,2.9,0
ESM,2104,Statics,Bolton,60749,3,1.99,52,17.3,15.4,28.8,26.9,11.5,2
ESM,2204,Mechanics of Deformable Bodies,Thangjitham,60750,3,1.73,54,11.1,3.7,48.1,25.9,11.1,3
ESM,2304,Dynamics,Bolton,60751,3,1.80,60,11.7,25.0,18.3,25.0,20.0,0
FIN,3104,Introduction to Finance,Pan,60765,3,3.01,34,41.2,29.4,26.5,0.0,2.9,0
FIN,3104,Introduction to Finance,Thompson,60766,3,3.07,25,44.0,32.0,16.0,8.0,0.0,0
FIN,3134,Finance Concepts and Skills,Hart,60767,3,2.30,39,5.1,46.2,33.3,10.3,5.1,0
FIN,3144,Investments: Debt-Equity-Deriv,Hart,60768,3,2.93,20,35.0,40.0,20.0,0.0,5.0,0
FIN,3154,Corporate Finance,Nguyen,60769,3,3.18,20,40.0,30.0,30.0,0.0,0.0,0
FIN,5674,Investments and Portfolio Mgmt,Billingsley,62100,2,3.10,19,31.6,57.9,10.5,0.0,0.0,0
FIN,5784,Global Finance,Schneller,61795,2,3.78,18,88.9,5.6,5.6,0.0,0.0,0
FIN,5654,Principles of Financial Mgmt,Easterwood,61648,2,3.72,15,80.0,20.0,0.0,0.0,0.0,0
FIN,5734,Legal/Ethical Issues in Tech,Hiller,61650,2,3.84,14,85.7,14.3,0.0,0.0,0.0,0
FR,3954,Study Abroad,Gueye,60806,3,3.56,13,61.5,30.8,7.7,0.0,0.0,0
FR,3954,Study Abroad,Gueye,60807,3,3.56,13,61.5,30.8,7.7,0.0,0.0,0
GEOG,1004,Intro Human Geography,Parece,60824,3,3.41,15,60.0,26.7,13.3,0.0,0.0,0
GEOG,1014,World Regions,Boyer,60825,3,3.66,57,73.7,19.3,7.0,0.0,0.0,0
GEOG,4354,Introduction to Remote Sensing,Zheng,62004,3,3.33,15,46.7,33.3,20.0,0.0,0.0,0
GEOG,3254,Geography of East Asia,Boyer,61991,3,4.00,27,100.0,0.0,0.0,0.0,0.0,0
GEOS,1004,Physical Geology,Sliko,61802,3,2.81,39,41.0,33.3,7.7,7.7,10.3,0
GER,2114,Accel Inter German,Lynn,60837,6,3.61,17,64.7,35.3,0.0,0.0,0.0,0
