department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
ACIS,2116,Principles of Accounting,Barkhi,70069,3,2.69,23,21.7,34.8,34.8,4.3,4.3,0
ACIS,3116,Intermediate Financial Acct,Barkhi,70071,3,2.79,21,4.8,66.7,28.6,0.0,0.0,0
ACIS,3414,"Auditing, Governance & Ethics",Barkhi,70073,3,2.97,22,18.2,59.1,22.7,0.0,0.0,0
ACIS,5984,SS: Healthcare Data Mgtmt,Sheetz,71696,3,3.73,36,80.6,19.4,0.0,0.0,0.0,0
AOE,3104,Aircraft Performance,Crede,70104,3,3.18,19,31.6,57.9,10.5,0.0,0.0,0
AOE,3204,Naval Architecture,Bloxom,71611,3,3.08,13,38.5,46.2,0.0,15.4,0.0,0
ARCH,5756,Advanced Design Laboratory,Pittman,70169,3,3.44,18,38.9,61.1,0.0,0.0,0.0,0
ARCH,2984,SS:Design Thinking,Albright,71699,3,3.77,16,75.0,25.0,0.0,0.0,0.0,0
ARCH,2984,SS:Qualifying Design Lab,Albright,71701,3,3.24,49,28.6,67.3,4.1,0.0,0.0,0
BC,2014,Construction Principles I,Ferguson,70185,3,3.61,15,66.7,33.3,0.0,0.0,0.0,0
BCHM,4124,Lab Prob Biochemistry,Gregory,70190,6,3.05,14,7.1,92.9,0.0,0.0,0.0,0
BIOL,1106,Principles of Biology,Buikema,70197,3,2.25,34,14.7,38.2,20.6,14.7,11.8,2
BIOL,1116,Principles of Biol Lab,Webb,70198,1,2.94,16,25.0,56.3,12.5,0.0,6.3,0
BIOL,2704,Evolutionary Biology,Sheppard,70200,3,3.03,22,31.8,40.9,22.7,4.5,0.0,0
BIOL,3254,Med & Vet Entomology,Paulson,71665,3,2.80,23,21.7,34.8,39.1,4.3,0.0,0
BIOL,3264,Med & Vet Entomology Lab,Paulson,71667,1,3.75,11,72.7,27.3,0.0,0.0,0.0,0
BIOL,3954,Study Abroad,Blanc,71680,6,3.79,19,84.2,15.8,0.0,0.0,0.0,0
BIOL,1106,Principles of Biology,Rosenzweig,71182,3,2.01,20,5.0,15.0,60.0,10.0,10.0,1
BIOL,2104,Cell and Molecular Biology,Walker,71183,3,2.60,32,18.8,40.6,28.1,9.4,3.1,0
BIOL,2804,Ecology,Buikema,71184,3,2.51,15,20.0,20.0,53.3,6.7,0.0,0
BIOL,2504,General Zoology,Sheppard,71582,3,2.92,13,15.4,69.2,7.7,7.7,0.0,0
BIT,2405,Quantitative Methods,Kennedy,70211,3,3.04,17,29.4,47.1,23.5,0.0,0.0,0
BIT,2406,Quantitative Methods,King,70212,3,3.32,52,51.9,36.5,7.7,1.9,1.9,0
BIT,3414,Operations & Supply Chain Mgt,Collignon,70213,3,2.93,32,34.4,34.4,21.9,9.4,0.0,0
BMSP,2135,Human Anatomy & Physiology,Gillian,71684,3,3.23,81,35.8,42.0,19.8,2.5,0.0,0
BMSP,2145,Human Anatomy & Physiology Lab,Gillian,71685,1,2.86,47,23.4,40.4,25.5,6.4,4.3,0
CEE,3304,Fluid Mech for CEE,Scardina,71497,3,2.20,20,15.0,25.0,30.0,25.0,5.0,0
CEE,3424,Reinf Concr Struct I,Mouras,71498,3,2.81,36,22.2,47.2,25.0,2.8,2.8,0
CEE,3514,Intro to Geotechnical Engr,Mauldon,70240,3,2.73,32,28.1,28.1,34.4,6.3,3.1,1
CEE,3684,Civil Engineering Materials,Loulizi,70242,3,2.94,17,17.6,58.8,23.5,0.0,0.0,0
CHE,4014,Chem Engr Laboratory,Durrill,70253,5,3.73,20,80.0,20.0,0.0,0.0,0.0,0
CHEM,1036,General Chemistry,Spencer,70260,3,2.38,57,17.5,26.3,36.8,15.8,3.5,2
CHEM,1046,General Chemistry Lab,Amateis,70261,1,2.92,20,15.0,70.0,10.0,0.0,5.0,0
CHEM,1046,General Chemistry Lab,Amateis,70262,1,2.74,14,14.3,57.1,14.3,14.3,0.0,0
CHEM,2536,Organic Chemistry,Chen,70264,3,2.78,98,33.7,31.6,21.4,7.1,6.1,0
CHEM,2546,Organic Chemistry Laboratory,Lehsten,70265,1,2.57,19,26.3,31.6,31.6,0.0,10.5,0
CHEM,2546,Organic Chemistry Laboratory,Lehsten,70266,1,2.69,15,20.0,40.0,33.3,0.0,6.7,0
CHEM,2546,Organic Chemistry Laboratory,Lehsten,70267,1,2.82,18,22.2,50.0,22.2,5.6,0.0,0
CHEM,2546,Organic Chemistry Laboratory,Lehsten,70270,1,2.84,17,17.6,47.1,35.3,0.0,0.0,0
COMM,2044,Principles of Public Relations,Waymer,71192,3,3.26,22,54.5,27.3,13.6,0.0,4.5,0
COMM,4074,Organizational Communication,Waymer,71194,3,3.36,15,46.7,46.7,6.7,0.0,0.0,0
COMM,2084,Media Institutions,Kanter,71595,3,2.78,19,31.6,42.1,10.5,0.0,15.8,0
COMM,2004,Public Speaking,Quesenberry,71596,3,3.19,15,40.0,46.7,13.3,0.0,0.0,2
COMM,2004,Public Speaking,Jenkins,71597,3,3.36,14,57.1,28.6,14.3,0.0,0.0,2
COMM,2004,Public Speaking,Shinault,71598,3,2.99,15,20.0,66.7,6.7,0.0,6.7,0
COMM,2004,Public Speaking,Stallings,71599,3,3.04,21,28.6,57.1,4.8,4.8,4.8,0
COMM,2004,Public Speaking,Tydings,71600,3,3.21,19,63.2,26.3,0.0,0.0,10.5,0
COMM,2004,Public Speaking,Tydings,71601,3,3.23,18,50.0,44.4,0.0,0.0,5.6,0
COMM,2004,Public Speaking,Young,71602,3,3.46,16,43.8,56.3,0.0,0.0,0.0,0
COMM,2004,Public Speaking,Shinault,71741,3,2.89,12,8.3,75.0,16.7,0.0,0.0,1
CS,3304,Comparative Languages,Lazem,71686,3,3.62,13,69.2,23.1,7.7,0.0,0.0,0
CS,1044,Intro Prog in C,Buffardi,70299,3,3.63,28,64.3,32.1,3.6,0.0,0.0,0
CS,2114,Softw Des & Data Structures,Allevato,70300,3,3.47,18,61.1,33.3,5.6,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,70330,1,3.27,10,40.0,50.0,10.0,0.0,0.0,0
ECE,2574,Intr Data Struct & SE,Wyatt,70331,3,2.43,15,33.3,33.3,0.0,20.0,13.3,0
ECE,3106,Electromagnetic Fields,Black,70333,3,2.49,18,22.2,33.3,27.8,16.7,0.0,0
ECE,3704,Cont and Disc Systems,Lindner,70334,3,3.39,12,50.0,41.7,8.3,0.0,0.0,0
ECON,2005,Principles of Economics,Liao,70571,3,2.68,32,21.9,40.6,28.1,3.1,6.3,0
ECON,2006,Principles of Economics,Gebremariam,70573,3,2.16,30,16.7,13.3,50.0,3.3,16.7,0
ECON,2006,Principles of Economics,Rakshit,70574,3,3.32,12,58.3,25.0,16.7,0.0,0.0,0
ECON,3204,Macroeconomic Theory,Ashley,70575,3,2.51,20,10.0,40.0,45.0,5.0,0.0,0
EDCI,5104,Schooling in American Society,Brandt,70596,3,3.97,12,100.0,0.0,0.0,0.0,0.0,0
EDCI,5784,GS:Res Asses/Diagno Math Clsrm,Kreye,70600,3,4.00,24,100.0,0.0,0.0,0.0,0.0,0
EDCI,5354,Literacies and Technology,Mesmer,71645,3,4.00,11,100.0,0.0,0.0,0.0,0.0,0
EDCI,5454,Teaching Composition,Woods,71646,3,4.00,10,100.0,0.0,0.0,0.0,0.0,0
EDCI,5214,Lng Thry Rdg Writ Exp,Barksdale,71514,3,4.00,12,100.0,0.0,0.0,0.0,0.0,0
EDCO,5204,Orient Profsnl Cslg,Lawson,71311,3,4.00,18,100.0,0.0,0.0,0.0,0.0,0
EDCO,6534,DSM Application in Counseling,Welfare,71313,3,4.00,17,100.0,0.0,0.0,0.0,0.0,0
EDCO,5254,Career Dev Info/Servs,Brott,71376,3,3.96,21,100.0,0.0,0.0,0.0,0.0,0
EDCT,5624,Managing CTE Program,Price,71551,3,4.00,16,100.0,0.0,0.0,0.0,0.0,0
EDCT,5614,Curriculum Development in CTE,Price,70614,3,4.00,15,100.0,0.0,0.0,0.0,0.0,0
EDEL,5604,GS: Technology in Educ,Pamas,71619,3,4.00,18,100.0,0.0,0.0,0.0,0.0,0
EDEL,6044,Gov and Pol in Educ,Mallory,71625,3,3.97,20,100.0,0.0,0.0,0.0,0.0,0
EDEL,6044,Gov and Pol in Educ,Cash,71636,3,4.00,12,100.0,0.0,0.0,0.0,0.0,0
EDEP,5154,Psych Foundations for Teachers,Jones,71531,3,3.62,19,63.2,36.8,0.0,0.0,0.0,0
EDHP,2204,Creative Dance,Lepczyk,71553,3,3.54,26,69.2,19.2,11.5,0.0,0.0,0
ENGE,1104,Exploration of Digital Future,Allen,70646,2,3.60,28,71.4,25.0,3.6,0.0,0.0,0
ENGE,1104,Exploration of Digital Future,Walker,70646,2,3.60,28,71.4,25.0,3.6,0.0,0.0,0
ENGE,1114,Exploration Engineering Design,Knott,70647,2,2.77,33,21.2,39.4,36.4,3.0,0.0,1
ENGE,1114,Exploration Engineering Design,Knott,70648,2,3.05,33,24.2,60.6,15.2,0.0,0.0,1
ENGE,1434,Fundamentals of Engineering,Spangler,70649,5,3.31,19,42.1,52.6,5.3,0.0,0.0,0
ENGE,1434,Fundamentals of Engineering,Spangler,70650,5,3.22,20,40.0,45.0,15.0,0.0,0.0,0
ENGL,1105,Freshman English,Bloomer,70652,3,2.85,20,25.0,45.0,20.0,5.0,5.0,0
ENGL,3154,"Literature, Medicine & Culture",Hausman,71244,3,2.96,24,25.0,62.5,0.0,12.5,0.0,0
ENGL,3764,Technical Writing,Neilan,71245,3,3.37,15,46.7,53.3,0.0,0.0,0.0,0
ENGL,3764,Technical Writing,Mooney,71246,3,3.68,19,78.9,10.5,10.5,0.0,0.0,0
ENGL,3764,Technical Writing,Hagedorn,71247,3,3.67,15,66.7,33.3,0.0,0.0,0.0,0
ENGL,1654,Intro to Science Fiction,Patton,71609,3,3.63,45,80.0,13.3,2.2,0.0,4.4,1
ENGL,3764,Technical Writing,Mooney,71610,3,3.41,21,52.4,33.3,14.3,0.0,0.0,0
ENGL,3764,Technical Writing,Collier,71764,3,3.41,18,55.6,38.9,0.0,0.0,5.6,0
ESM,2104,Statics,Chang,70678,3,2.59,43,32.6,32.6,14.0,9.3,11.6,0
ESM,2204,Mechanics of Deformable Bodies,Chang,70679,3,2.77,82,34.1,32.9,19.5,4.9,8.5,0
ESM,2304,Dynamics,Hendricks,70680,3,1.93,56,10.7,10.7,58.9,7.1,12.5,1
FIN,3104,Introduction to Finance,Artavanis,70695,3,2.86,27,37.0,37.0,18.5,0.0,7.4,1
FIN,3134,Finance Concepts and Skills,Klock,71711,3,2.45,22,22.7,27.3,31.8,13.6,4.5,0
FIN,5194,Commerical Law,Malone,71688,3,3.17,27,25.9,63.0,11.1,0.0,0.0,0
FIN,3055,Legal Environment of Business,Malone,71689,3,2.67,38,10.5,52.6,28.9,7.9,0.0,0
FIN,3154,Corporate Finance,Bhattacharya,71691,3,3.30,10,40.0,50.0,10.0,0.0,0.0,0
GEOG,1104,Intro Physical Geog,Le Blanc,71663,3,3.17,16,31.3,56.3,12.5,0.0,0.0,0
GEOS,1024,Resources Geology,Johnson,70748,3,2.73,14,14.3,42.9,35.7,7.1,0.0,0
GER,4984,SS:Intensive Advanced German,Hassell,71647,6,3.28,12,50.0,33.3,16.7,0.0,0.0,0
HD,2336,Principles of Human Services,Jaramillo Sierra,71681,3,2.39,41,22.0,36.6,17.1,9.8,14.6,0
HD,4354,"Family, Law, and Public Policy",Kennington,71668,3,3.64,24,75.0,16.7,8.3,0.0,0.0,1
HD,1004,Human Development I,Zhang,71669,3,3.40,37,67.6,16.2,10.8,0.0,5.4,0
HD,2004,Human Development II,Liou,71670,3,2.92,19,57.9,15.8,5.3,10.5,10.5,0
HD,1004,Human Development I,Kimbrell,71253,3,3.29,55,56.4,25.5,14.5,1.8,1.8,0
HD,1004,Human Development I,Komelski,71254,3,3.56,35,71.4,22.9,0.0,2.9,2.9,1
HD,2004,Human Development II,Bivens,71256,3,3.42,17,70.6,17.6,5.9,0.0,5.9,0
HD,2304,Family Relationships,Karimi Koloukhi,71257,3,2.76,57,36.8,29.8,15.8,8.8,8.8,1
HD,2314,Human Sexuality,Barrow,71258,3,3.08,51,56.9,21.6,7.8,2.0,11.8,0
HD,2314,Human Sexuality,Cheshire,71259,3,3.21,39,38.5,43.6,17.9,0.0,0.0,0
HD,2314,Human Sexuality,Glass,71260,3,3.08,34,41.2,38.2,14.7,0.0,5.9,0
HD,4964,Field Study,Verdu,70775,3,3.86,41,87.8,7.3,4.9,0.0,0.0,0
HD,5424,Life Span Development,O'Rorke-Trigiani,71727,3,4.00,12,100.0,0.0,0.0,0.0,0.0,0
HIST,1024,Ancient History,Becker,71264,3,3.03,31,38.7,38.7,16.1,3.2,3.2,0
HIST,3534,Modern Military History,Farrar,71267,3,3.53,52,65.4,26.9,7.7,0.0,0.0,0
HIST,3724,Disease Med & Health,Gibson,71592,3,3.10,27,48.1,29.6,14.8,3.7,3.7,0
HIST,1214,History of the Modern World,Hill,71593,3,3.41,17,58.8,35.3,5.9,0.0,0.0,0
HNFE,1004,"Foods, Nutrition And Exercise",Lewis,71687,3,3.49,28,71.4,17.9,3.6,7.1,0.0,0
HTM,2454,Travel & Tourism Management,Woo,71269,3,3.44,27,55.6,33.3,11.1,0.0,0.0,0
HTM,2514,Catering Management,Lee,71270,3,3.21,25,36.0,52.0,8.0,4.0,0.0,0
HUM,1124,HUM: Roman/Christian,Becker,71271,3,2.92,22,45.5,18.2,22.7,9.1,4.5,0
HUM,2204,The Creative Process,Henderson,71275,3,2.60,22,36.4,22.7,13.6,22.7,4.5,1
HUM,1704,Intro Appal Studies,Satterwhite,71581,3,3.22,26,57.7,30.8,3.8,0.0,7.7,0
HUM,1704,Intro Appal Studies,Jackson,71731,3,3.86,24,91.7,4.2,4.2,0.0,0.0,0
ISE,2014,Engineering Economy,Sarkar,70829,2,3.27,21,38.1,42.9,14.3,4.8,0.0,0
ISE,3024,Data Mgmt For Ind Engrs,Edmison,70830,3,3.18,18,44.4,44.4,11.1,0.0,0.0,0
ISE,3214,Fac Plan & Matl Hand,Dalkiran,70831,3,3.02,25,28.0,52.0,16.0,4.0,0.0,0
ISE,3424,Disc-Event Simulation,Kota,70832,3,3.48,20,50.0,45.0,5.0,0.0,0.0,0
ITDS,1114,Design Appreciation,Tew,71499,3,3.65,26,88.5,3.8,0.0,0.0,7.7,0
LAR,1144,Introduction to LA,Calorusso,71280,1,3.33,43,48.8,41.9,4.7,2.3,2.3,1
LDRS,1015,Exploring Citizen Leadership,Friedel,71697,3,3.24,10,60.0,30.0,0.0,0.0,10.0,0
MATH,2214,Intro Diff Equations,Saenz Maldonado,71723,3,2.12,22,18.2,31.8,18.2,9.1,22.7,0
MATH,1016,Elem Calc w/Trig I,Karcher,70870,3,3.01,23,47.8,17.4,26.1,4.3,4.3,0
MATH,1114,Elementary Linear Algebra,Boyce,70871,2,3.32,18,50.0,44.4,0.0,0.0,5.6,0
MATH,1206,Calculus,Wills,70872,3,2.66,30,23.3,40.0,30.0,0.0,6.7,0
MATH,1224,Vector Geometry,Mechai,70873,2,3.34,36,50.0,47.2,0.0,0.0,2.8,0
MATH,2015,Elem Calc w/Trig II,Letona Bolivar,70875,3,3.22,20,50.0,30.0,15.0,5.0,0.0,0
MATH,2214,Intro Diff Equations,Dominy,70876,3,3.06,19,36.8,42.1,15.8,5.3,0.0,0
MATH,2224,Multivariable Calculus,Hanks,70877,3,2.38,23,13.0,39.1,30.4,13.0,4.3,1
MATH,2224,Multivariable Calculus,Hanks,70878,3,2.21,28,10.7,35.7,25.0,25.0,3.6,1
MATH,3124,Modern Algebra,Hart,70881,3,2.64,20,20.0,35.0,40.0,0.0,5.0,1
MATH,3134,Applied Combinatorics,Clemons,70882,3,2.70,15,33.3,13.3,33.3,20.0,0.0,0
MATH,3214,Calculus of Several Variables,Amaya,70883,3,2.23,19,31.6,5.3,26.3,31.6,5.3,2
MATH,4564,Operational Methods,Kim,70886,3,2.53,25,40.0,12.0,24.0,16.0,8.0,0
ME,3504,Dynamic Systems - Vibrations,Kirk,70894,3,3.43,28,60.7,32.1,3.6,3.6,0.0,0
