department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
ACIS,1504,Intro Bus Info Sys,Brozovsky,60067,3,3.05,22,18.2,72.7,4.5,4.5,0.0,0
ACIS,1504,Intro Bus Info Sys,Brozovsky,60068,3,2.89,19,10.5,68.4,21.1,0.0,0.0,0
ACIS,1504,Intro Bus Info Sys,Brozovsky,60069,3,2.25,20,5.0,50.0,25.0,5.0,15.0,0
ACIS,2004,Survey of Accounting,Shoulders,60070,3,3.05,13,46.2,23.1,23.1,7.7,0.0,0
ACIS,2115,Principles of Accounting,Cranor,60071,3,3.04,26,34.6,42.3,19.2,0.0,3.8,0
ACIS,2115,Principles of Accounting,Yardley,60072,3,3.00,23,34.8,43.5,13.0,4.3,4.3,0
ACIS,2115,Principles of Accounting,Cranor,60073,3,3.19,21,52.4,28.6,9.5,4.8,4.8,0
ACIS,2115,Principles of Accounting,Cranor,60074,3,2.56,18,22.2,38.9,22.2,5.6,11.1,0
ACIS,2116,Principles of Accounting,Brozovsky,60075,3,2.50,12,25.0,33.3,16.7,16.7,8.3,0
ACIS,2116,Principles of Accounting,Brozovsky,60076,3,2.60,25,20.0,32.0,36.0,12.0,0.0,0
ACIS,2116,Principles of Accounting,Brozovsky,60077,3,2.37,30,16.7,26.7,40.0,10.0,6.7,0
ACIS,2504,Personal Computers in Business,Griffin,60078,3,3.51,14,57.1,42.9,0.0,0.0,0.0,0
ACIS,2504,Personal Computers in Business,Griffin,60079,3,3.63,17,64.7,35.3,0.0,0.0,0.0,0
ACIS,3115,Intermediate Finan Accounting,Shoulders,60081,3,3.51,30,46.7,53.3,0.0,0.0,0.0,0
ACIS,3215,Cost Accounting,Brown,60082,3,2.90,27,33.3,40.7,18.5,3.7,3.7,0
ACIS,4314,Income Tax,Seago,60085,3,2.90,32,21.9,43.8,34.4,0.0,0.0,0
