department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
ACIS,1504,Intro Bus Info Sys,Brown,70066,3,2.93,15,13.3,66.7,20.0,0.0,0.0,0
ACIS,1504,Intro Bus Info Sys,Brown,70067,3,2.93,15,26.7,53.3,13.3,0.0,6.7,0
ACIS,2116,Principles of Accounting,Brown,70068,3,1.88,24,12.5,16.7,25.0,37.5,8.3,0
ACIS,2116,Principles of Accounting,Brown,70069,3,2.04,25,12.0,24.0,36.0,12.0,16.0,0
ACIS,2504,Personal Computers in Business,Brown,70070,3,2.85,27,25.9,44.4,22.2,3.7,3.7,0
ACIS,3116,Intermediate Finan Accounting,Brown,70071,3,2.37,27,7.4,33.3,44.4,14.8,0.0,0
ACIS,3116,Intermediate Finan Accounting,Brown,70072,3,2.44,39,12.8,33.3,38.5,12.8,2.6,0
ACIS,4324,Advanced Income Tax,Brown,70073,3,3.65,13,76.9,15.4,7.7,0.0,0.0,0
ACIS,4416,Auditing,Brown,70074,3,3.07,13,15.4,69.2,15.4,0.0,0.0,0
AOE,3094,Materials for Aero & Ocean Eng,Aning,70086,3,2.35,11,18.2,36.4,18.2,9.1,18.2,0
AOE,3104,Aircraft Performance,Chun,70087,3,3.51,21,57.1,42.9,0.0,0.0,0.0,0
AOE,4404,Applied Numerical Methods,Vance,70088,3,3.37,10,50.0,40.0,10.0,0.0,0.0,0
ARCH,5756,Advanced Design Laboratory,Schnoedt,70117,3,3.55,13,46.2,53.8,0.0,0.0,0.0,0
ARCH,2984,SS:Qualifying Design Lab,Albright,71371,3,3.00,31,35.5,38.7,25.8,0.0,0.0,0
ARCH,2984,SS:Qualifying Design Lab,Albright,71372,3,2.81,23,8.7,60.9,30.4,0.0,0.0,0
BIOL,1106,Principles of Biology,Slotta,71324,3,3.51,22,63.6,18.2,18.2,0.0,0.0,0
BIOL,1116,Principles of Biol Lab,Dommer,71326,1,3.90,10,90.0,10.0,0.0,0.0,0.0,0
BIOL,1006,General Biology,Slotta,70132,3,3.21,23,52.2,26.1,13.0,4.3,4.3,0
BIOL,2104,Cell and Molecular Biology,Walker,70135,3,3.20,26,50.0,23.1,23.1,3.8,0.0,0
BIOL,2504,General Zoology,Jenssen,70136,3,2.58,23,21.7,26.1,39.1,13.0,0.0,0
BIT,2405,Quantitative Methods,Smith,70144,3,3.06,33,30.3,51.5,12.1,3.0,3.0,0
BIT,2406,Quantitative Methods,Hertweck,70145,3,2.98,43,25.6,51.2,18.6,4.7,0.0,0
BIT,2406,Quantitative Methods,Pokorski,70146,3,2.67,35,11.4,54.3,31.4,2.9,0.0,0
BIT,3414,Prod And Oper Mgt,Arnette,70147,3,2.90,25,20.0,56.0,20.0,4.0,0.0,0
CEE,3314,Water Resources Engineering,Loganathan,70159,3,2.90,19,21.1,52.6,26.3,0.0,0.0,0
CEE,3424,Reinf Concr Struct I,Garst,70160,3,2.94,10,40.0,30.0,20.0,10.0,0.0,0
CEE,3514,Intro to Geotechnical Engr,Dove,71113,3,2.27,16,6.3,37.5,37.5,12.5,6.3,0
CHE,4014,Chem Engr Laboratory,Durrill,70170,5,3.52,16,50.0,50.0,0.0,0.0,0.0,0
CHEM,1036,General Chemistry,Lofthus,70177,3,2.15,58,10.3,31.0,34.5,12.1,12.1,0
CHEM,1046,General Chemistry Lab,Amateis,70178,1,3.27,18,38.9,55.6,0.0,0.0,5.6,0
CHEM,1046,General Chemistry Lab,Amateis,70179,1,3.62,12,75.0,25.0,0.0,0.0,0.0,0
