department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
ACIS,3116,Intermediate Financial Acct,Almond,70070,3,2.73,21,19.0,52.4,19.0,0.0,9.5,4
ACIS,5574,Healthcare Data Management,Sheetz,72012,3,3.65,42,66.7,33.3,0.0,0.0,0.0,0
AOE,3104,Aircraft Performance,Ricciardi,70104,3,3.20,26,30.8,57.7,11.5,0.0,0.0,0
AOE,3204,Naval Architecture,Winyall,70105,3,3.00,10,30.0,40.0,30.0,0.0,0.0,0
APSC,1454,Intro Animal & Poultry Science,Wood,72062,3,2.59,12,0.0,66.7,33.3,0.0,0.0,0
ARCH,5756,Advanced Design Laboratory,Pittman,70167,3,3.58,27,55.6,44.4,0.0,0.0,0.0,0
ARCH,2984,SS:Seeing Design Trans Observ,Albright,72125,3,3.44,24,37.5,62.5,0.0,0.0,0.0,0
ARCH,2984,SS:Qualifying Design Lab,Albright,72142,3,2.77,46,13.0,60.9,17.4,6.5,2.2,0
ARCH,2984,SS:Design Thinking,Renard,72174,3,3.56,24,58.3,41.7,0.0,0.0,0.0,0
AT,0194,AT Internship,Doak,70179,3,3.31,17,58.8,17.6,17.6,5.9,0.0,0
BC,2014,Construction Principles I,Ferguson,70180,3,3.15,16,43.8,43.8,6.3,0.0,6.3,0
BCHM,4124,Lab Prob Biochemistry,Gregory,70185,6,3.21,10,40.0,50.0,10.0,0.0,0.0,0
BIOL,1106,Principles of Biology,Buikema,70192,3,2.47,15,13.3,33.3,40.0,13.3,0.0,1
BIOL,1116,Principles of Biol Lab,Sarmadi,70193,1,3.59,21,76.2,14.3,4.8,0.0,4.8,1
BIOL,2704,Evolutionary Biology,Sheppard,70196,3,3.32,22,63.6,18.2,9.1,4.5,4.5,0
BIOL,3254,Med & Vet Entomology,Paulson,70199,3,3.04,17,41.2,23.5,29.4,5.9,0.0,0
BIOL,3264,Med & Vet Entomology Lab,Paulson,70200,1,4.00,13,100.0,0.0,0.0,0.0,0.0,0
BIOL,3954,Study Abroad,Blanc,70201,6,3.59,17,58.8,41.2,0.0,0.0,0.0,0
BIOL,1106,Principles of Biology,Rosenzweig,71202,3,2.33,37,16.2,21.6,51.4,8.1,2.7,0
BIOL,2104,Cell and Molecular Biology,Walker,71203,3,2.77,39,25.6,33.3,30.8,10.3,0.0,1
BIOL,2804,Ecology,Buikema,71204,3,2.89,17,29.4,41.2,23.5,5.9,0.0,1
BIT,2406,Quantitative Methods,Chacko,70211,3,3.22,62,43.5,38.7,12.9,3.2,1.6,0
BIT,3414,Operations & Supply Chain Mgt,Collignon,70212,3,2.82,28,32.1,32.1,28.6,7.1,0.0,0
BIT,5664,Managing Global Supply Chain,Russell,72140,2,3.77,26,80.8,19.2,0.0,0.0,0.0,0
BMSP,2135,Human Anatomy & Physiology,Gillian,71205,3,2.45,64,23.4,28.1,25.0,18.8,4.7,0
BMSP,2145,Human Anatomy & Physiology Lab,Gillian,71206,1,2.84,40,30.0,37.5,17.5,12.5,2.5,0
CEE,3424,Reinf Concr Struct I,Mouras,70241,3,3.15,11,36.4,36.4,27.3,0.0,0.0,0
CEE,3514,Intro to Geotechnical Engr,Mauldon,70242,3,2.91,15,26.7,40.0,33.3,0.0,0.0,0
CEE,3684,Civil Engineering Materials,Loulizi,70243,3,3.18,12,33.3,58.3,8.3,0.0,0.0,0
CEE,3604,Intro Transport Engr,Katz,72148,3,3.43,48,52.1,41.7,6.3,0.0,0.0,0
CHE,4014,Chem Engr Laboratory,Durrill,70254,5,3.66,34,73.5,26.5,0.0,0.0,0.0,0
CHEM,1036,General Chemistry,Fuhrer,70261,3,2.41,46,13.0,41.3,28.3,10.9,6.5,1
CHEM,1046,General Chemistry Lab,Amateis,70262,1,3.19,14,35.7,50.0,14.3,0.0,0.0,0
CHEM,2536,Organic Chemistry,Bissel,70265,3,2.92,89,32.6,40.4,19.1,5.6,2.2,0
CHEM,2546,Organic Chemistry Laboratory,Santos,70266,1,2.81,16,25.0,37.5,31.3,0.0,6.3,0
CHEM,2546,Organic Chemistry Laboratory,Santos,70267,1,2.67,19,26.3,31.6,31.6,5.3,5.3,0
CHEM,2546,Organic Chemistry Laboratory,Santos,70268,1,2.82,18,33.3,33.3,22.2,5.6,5.6,0
CHEM,3625,Physical Chemistry Laboratory,Manbeck,70273,1,3.51,11,63.6,27.3,0.0,9.1,0.0,0
CLA,2444,Greek and Roman Myth,Phillips,72076,3,2.71,19,36.8,31.6,15.8,0.0,15.8,0
COMM,3064,Persuasion,Magee,72072,3,3.24,19,47.4,31.6,15.8,5.3,0.0,0
COMM,4114,Photojournalism,Aguilar Booth,71525,3,2.85,11,18.2,54.5,18.2,9.1,0.0,0
COMM,4044,International Communication,Magee,71526,3,3.81,17,82.4,17.6,0.0,0.0,0.0,0
COMM,2004,Public Speaking,Quesenberry,71212,3,3.29,18,50.0,38.9,11.1,0.0,0.0,0
COMM,2004,Public Speaking,Tydings,71213,3,3.42,13,53.8,38.5,7.7,0.0,0.0,0
COMM,2004,Public Speaking,Shinault,71214,3,3.13,16,31.3,56.3,12.5,0.0,0.0,0
COMM,2004,Public Speaking,Quesenberry,71215,3,3.40,20,50.0,50.0,0.0,0.0,0.0,0
COMM,2004,Public Speaking,Shinault,71216,3,3.03,15,40.0,46.7,6.7,0.0,6.7,0
COMM,2004,Public Speaking,Tydings,71217,3,3.38,15,40.0,60.0,0.0,0.0,0.0,1
COMM,2044,Principles of Public Relations,Waymer,71221,3,2.83,16,43.8,31.3,0.0,12.5,12.5,0
COMM,4074,Organizational Communication,Waymer,71223,3,3.30,20,35.0,55.0,10.0,0.0,0.0,0
CS,1604,Introduction to the Internet,Barnette,72088,1,2.92,10,30.0,50.0,20.0,0.0,0.0,1
CS,1114,Intro to Software Design,Barnette,72091,3,2.90,12,16.7,66.7,16.7,0.0,0.0,0
CS,3744,Intro GUI Programming/Graphics,Radics,72093,3,2.32,19,26.3,31.6,15.8,5.3,21.1,1
CS,1044,Intro Prog in C,Buffardi,70292,3,3.66,29,65.5,31.0,0.0,3.4,0.0,0
CS,2114,Softw Des & Data Structures,Allevato,70293,3,3.72,12,66.7,33.3,0.0,0.0,0.0,0
CS,3304,Comparative Languages,Gracanin,70296,3,2.77,14,14.3,57.1,28.6,0.0,0.0,2
ECE,2204,Electronics,Guido,70321,3,2.57,22,22.7,27.3,31.8,13.6,4.5,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,70322,1,3.24,12,41.7,50.0,0.0,0.0,8.3,0
ECE,3704,Cont and Disc Systems,Black,70326,3,2.97,10,30.0,40.0,30.0,0.0,0.0,0
ECON,2005,Principles of Economics,Chung,70547,3,3.01,25,28.0,44.0,24.0,4.0,0.0,0
ECON,2006,Principles of Economics,Gebremariam,70548,3,2.34,27,14.8,25.9,40.7,11.1,7.4,0
ECON,3204,Macroeconomic Theory,Ashley,70550,3,2.86,16,31.3,37.5,25.0,6.3,0.0,0
EDCI,5104,Schooling in American Society,Garrison,70563,3,3.73,15,80.0,13.3,6.7,0.0,0.0,0
EDCI,5214,Lng Thry Rdg Writ Exp,Barksdale,70564,3,4.00,20,100.0,0.0,0.0,0.0,0.0,0
EDCI,5264,Comp and Cont Rdg,Williams,70565,3,3.90,15,100.0,0.0,0.0,0.0,0.0,0
EDCI,5784,GS:Res Asses/Diagno Math Clsrm,Kreye,70568,3,3.97,25,96.0,4.0,0.0,0.0,0.0,0
EDCI,5704,Contemp Issues in Music Ed,Parkes,72162,3,3.84,14,92.9,7.1,0.0,0.0,0.0,0
EDCO,5424,Life Span Development,Millikin,72108,3,4.00,14,100.0,0.0,0.0,0.0,0.0,0
EDCO,6534,DSM Application in Counseling,Welfare,72089,3,4.00,14,100.0,0.0,0.0,0.0,0.0,0
