department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
AAEC,2464,Religion and Science,Ellerbrock,40173,3,3.24,24,45.8,41.7,4.2,8.3,0.0,0
AFST,1714,Intro African American Studies,Seniors,40064,3,3.57,10,90.0,0.0,0.0,0.0,10.0,1
AHRM,2304,Family Financial Management,Solis,40065,3,3.07,20,50.0,25.0,15.0,0.0,10.0,0
AHRM,2404,Consumer Rights,Fisher,40066,3,3.58,19,78.9,15.8,0.0,0.0,5.3,0
AHRM,4244,New York Fashion Study Tour,Gaskill,40067,3,4.00,12,100.0,0.0,0.0,0.0,0.0,0
APSC,4984,SS:Animal Processing,Gerrard,40154,3,4.00,15,100.0,0.0,0.0,0.0,0.0,0
BC,1214,Intro to BC I,Goldsmith,40186,3,3.74,30,80.0,20.0,0.0,0.0,0.0,0
BIOL,1105,Principles of Biology,Lipscomb,40071,3,2.48,42,21.4,26.2,38.1,7.1,7.1,0
BIOL,2104,Cell and Molecular Biology,Finkielstein,40072,3,3.42,28,42.9,57.1,0.0,0.0,0.0,0
BIOL,1106,Principles of Biology,Hogan,40235,3,2.86,14,28.6,42.9,21.4,0.0,7.1,0
BIT,3414,Operations & Supply Chain Mgt,Deane,40227,3,2.84,37,32.4,32.4,29.7,2.7,2.7,0
BIT,2406,Quantitative Methods,Nottingham,40073,3,2.34,19,5.3,36.8,42.1,10.5,5.3,0
BIT,2406,Quantitative Methods,Nottingham,40074,3,2.55,14,21.4,35.7,28.6,7.1,7.1,1
BIT,3414,Operations & Supply Chain Mgt,Deane,40075,3,3.05,37,35.1,37.8,24.3,2.7,0.0,0
BIT,3424,Intro Bus Analytics Modeling,Abrahams,40076,3,2.56,20,35.0,10.0,45.0,10.0,0.0,0
BIT,3434,Adv Modeling for Bus Analytics,Rakes,40077,3,3.65,13,76.9,15.4,7.7,0.0,0.0,0
BIT,3444,Adv Bus Comp and App,Wang,40078,3,3.06,12,58.3,25.0,0.0,0.0,16.7,0
BIT,3954,Study Abroad,Matheson,40079,3,4.00,11,100.0,0.0,0.0,0.0,0.0,0
BIT,4434,Comp Sim In Bus,Rees,40080,3,3.86,19,89.5,10.5,0.0,0.0,0.0,0
BIT,4514,Database Technology for Bus,Zobel,40081,3,3.01,21,14.3,76.2,4.8,4.8,0.0,0
BIT,3464,Enterprise Planning & Control,Khansa,40202,3,3.54,15,60.0,40.0,0.0,0.0,0.0,0
CEE,3604,Intro Transport Engr,Katz,40082,3,3.30,27,44.4,44.4,11.1,0.0,0.0,0
CHEM,1035,General Chemistry,Spencer,40230,3,2.32,43,7.0,39.5,39.5,11.6,2.3,0
CHEM,4615,Phys Chem Life Sci,Marand,40231,3,2.59,17,29.4,23.5,35.3,5.9,5.9,0
CLA,2444,Greek and Roman Myth,Phillips,40083,3,3.83,36,91.7,5.6,2.8,0.0,0.0,0
COMM,3204,Multicultural Communication,Ansell,40184,3,3.36,10,40.0,50.0,10.0,0.0,0.0,0
COMM,1014,Intro to Comm Studies,Kuypers,40086,3,2.71,22,13.6,59.1,18.2,4.5,4.5,0
COMM,2004,Public Speaking,Quesenberry,40087,3,3.52,15,73.3,13.3,13.3,0.0,0.0,0
COMM,2084,Media Institutions,Mackay,40090,3,2.88,11,36.4,36.4,18.2,0.0,9.1,0
COMM,3124,Interpersonal Communication,Preston,40092,3,2.94,21,33.3,42.9,9.5,14.3,0.0,0
COMM,4024,Communication Law,Hopkins,40093,3,2.64,19,15.8,52.6,15.8,15.8,0.0,0
COMM,2004,Public Speaking,Sowder,40236,3,3.64,21,66.7,33.3,0.0,0.0,0.0,0
COMM,2004,Public Speaking,Haugh,40209,3,3.38,21,52.4,42.9,0.0,0.0,4.8,0
EDEL,5604,GS:Edu-21st Cent Global Lrnr,Price,40097,3,4.00,15,100.0,0.0,0.0,0.0,0.0,0
