department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
AAEC,2104,Personal Financial Planning,Mountain,70061,3,3.26,14,42.9,42.9,14.3,0.0,0.0,0
ACIS,1504,Intro to Bus Analytics & BI,Fan,70067,3,2.68,25,16.0,40.0,44.0,0.0,0.0,0
ACIS,1504,Intro to Bus Analytics & BI,Fan,70068,3,2.96,22,22.7,63.6,9.1,4.5,0.0,0
ACIS,2116,Principles of Accounting,Sharp,70069,3,3.16,10,30.0,50.0,20.0,0.0,0.0,0
ACIS,2504,Personal Computers in Business,Garner,70070,3,2.67,16,31.3,25.0,31.3,6.3,6.3,2
ACIS,3414,"Auditing, Governance & Ethics",Garner,70071,3,3.44,10,50.0,50.0,0.0,0.0,0.0,0
ACIS,5574,Healthcare Data Management,Khansa,70076,3,3.76,72,81.9,18.1,0.0,0.0,0.0,0
APS,1704,Intro to Appalachian Studies,Puckett,72114,3,3.31,10,70.0,20.0,0.0,0.0,10.0,2
ARCH,2984,SS: Nordic Design,Becker,72213,3,4.00,14,100.0,0.0,0.0,0.0,0.0,0
ARCH,1024,Innovative Design Thinking,Sullivan,70192,3,3.81,16,100.0,0.0,0.0,0.0,0.0,0
ARCH,1034,Seeing Design,Bohannon,70193,3,3.66,16,75.0,25.0,0.0,0.0,0.0,0
ARCH,1116,Qualifying Design Laboratory,Bassett,70194,3,3.19,53,15.1,84.9,0.0,0.0,0.0,1
ARCH,5756,Advanced Design Laboratory,Jones,70202,1,3.41,20,45.0,45.0,10.0,0.0,0.0,0
ART,2386,Surv Hist West Art,Moseley Christian,70210,3,3.37,24,66.7,16.7,12.5,4.2,0.0,2
AT,0194,AT Internship,Kohl,70220,3,3.76,17,76.5,23.5,0.0,0.0,0.0,0
BC,2014,Construction Principles I,Markovic Graff,70221,3,3.34,47,59.6,21.3,14.9,2.1,2.1,0
BIOL,1106,Principles of Biology,Fredericksen,70240,3,3.54,10,60.0,40.0,0.0,0.0,0.0,0
BIOL,1106,Principles of Biology,Rosenzweig,70241,3,2.73,48,12.5,54.2,27.1,2.1,4.2,0
BIOL,1116,Principles of Biol Lab,Lee,70242,1,3.81,10,90.0,10.0,0.0,0.0,0.0,0
BIOL,1116,Principles of Biol Lab,Lee,70243,1,3.61,11,63.6,36.4,0.0,0.0,0.0,0
BIOL,2004,Genetics,Voshell,70245,3,3.24,58,43.1,43.1,13.8,0.0,0.0,0
BIOL,2804,Ecology,Lipscomb,70246,3,3.38,26,42.3,50.0,3.8,3.8,0.0,0
BIOL,4874,Cancer Biology,Walker,70249,3,3.08,15,40.0,53.3,0.0,0.0,6.7,0
BIT,3414,Operations & Supply Chain Mgt,Teets,70260,3,3.76,53,77.4,22.6,0.0,0.0,0.0,1
BIT,4484,Project Management,Fernandez,70262,3,3.44,28,57.1,35.7,7.1,0.0,0.0,0
BIT,5724,Managerial Statistics,Nottingham,70264,3,3.02,29,34.5,44.8,13.8,3.4,3.4,0
BIT,2406,Quantitative Methods,Teets,72088,3,3.36,76,59.2,22.4,14.5,2.6,1.3,3
BIT,4514,Database Technology for Bus,Fernandez,72090,3,2.87,13,15.4,69.2,7.7,0.0,7.7,0
CEE,3104,Intro Environ Engr,Wang,72073,3,3.72,20,80.0,10.0,10.0,0.0,0.0,0
CEE,3404,Theory of Structures,Mouras,70338,3,2.61,28,7.1,64.3,17.9,7.1,3.6,1
CHE,4014,Chem Engr Laboratory,Martin,70353,5,3.46,29,44.8,55.2,0.0,0.0,0.0,0
CHEM,1035,General Chemistry,Eddleton,70360,3,3.08,24,50.0,25.0,20.8,0.0,4.2,0
