department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
ENSC,1016,Found Envrion Science,Eick,40308,3,3.91,14,100.0,0.0,0.0,0.0,0.0,0
ESM,2104,Statics,Hendricks,40385,3,3.20,14,42.9,42.9,14.3,0.0,0.0,0
ESM,2204,Mechanics of Deformable Bodies,Lord,40386,3,2.92,18,16.7,50.0,33.3,0.0,0.0,0
ESM,2304,Dynamics,Tahmasian,40387,3,2.28,12,33.3,16.7,16.7,8.3,25.0,1
FIN,4984,SS: Wells Fargo Practicum,Hart,40309,3,4.00,20,100.0,0.0,0.0,0.0,0.0,0
FMD,4244,New York Fashion Study Tour,Gaskill,40397,3,4.00,14,100.0,0.0,0.0,0.0,0.0,0
GEOG,3254,Geography of East Asia,Boyer,40313,3,3.85,27,85.2,14.8,0.0,0.0,0.0,0
HD,1004,Human Development I,Komelski,40316,3,3.65,34,82.4,8.8,5.9,0.0,2.9,0
HD,2314,Human Sexuality,Nelson,40317,3,3.66,22,81.8,13.6,4.5,0.0,0.0,0
HIST,1024,Ancient History,Becker,40318,3,3.50,14,50.0,50.0,0.0,0.0,0.0,0
HNFE,2204,Medical Terminology,Eaton,40325,3,3.87,40,92.5,7.5,0.0,0.0,0.0,0
HORT,2184,Plants Places Culture Globally,Niemiera,40327,3,3.71,10,80.0,20.0,0.0,0.0,0.0,0
HTM,3954,HTM Study Abroad,Duetsch,40331,3,4.00,11,100.0,0.0,0.0,0.0,0.0,0
HUM,1604,Intro Hum and Arts,Gabriele,40378,3,3.54,14,64.3,35.7,0.0,0.0,0.0,0
MGT,3304,Mgt Th & Lead Pract,Deck,40334,3,2.27,16,6.3,37.5,31.3,25.0,0.0,2
MKTG,3104,Marketing Management,Wertalik,40339,3,3.89,111,95.5,3.6,0.0,0.0,0.9,0
MKTG,4604,Retail Management,Reilly,40340,3,3.75,12,75.0,25.0,0.0,0.0,0.0,0
MUS,1005,Theory/Fundamentals,Paglialonga,40341,3,3.97,21,95.2,4.8,0.0,0.0,0.0,0
MUS,1104,Music Appreciation,Crafton,40342,3,3.74,99,78.8,18.2,2.0,0.0,1.0,0
MUS,1104,Music Appreciation,Paglialonga,40343,3,3.91,97,95.9,1.0,2.1,1.0,0.0,0
MUS,1104,Music Appreciation,Ball,40416,3,3.75,41,87.8,7.3,2.4,0.0,2.4,0
NR,3954,Study Abroad,McGee,40344,3,3.89,13,84.6,15.4,0.0,0.0,0.0,0
PHS,1514,Personal Health,Redican,40345,3,3.97,80,96.3,3.8,0.0,0.0,0.0,0
PHS,3534,Drug Education,Redican,40346,3,3.97,78,97.4,2.6,0.0,0.0,0.0,0
PHYS,2984,SS:Optics Module,Simonetti,40417,1,4.00,16,100.0,0.0,0.0,0.0,0.0,0
PHYS,2984,SS:Waves & Sounds Module,Simonetti,40418,1,4.00,14,100.0,0.0,0.0,0.0,0.0,0
PHYS,2206,General Physics,Papavasiliou,40391,3,3.44,12,41.7,58.3,0.0,0.0,0.0,0
PHYS,2205,General Physics,Takeuchi,40392,3,3.11,24,33.3,45.8,20.8,0.0,0.0,0
PM,2674,Multifamily Prop Mgnt & OP,Hopkins,40398,3,3.28,17,64.7,11.8,17.6,0.0,5.9,0
PSCI,1024,Comp Gov & Politics,Nelson,40348,3,2.81,12,33.3,41.7,8.3,8.3,8.3,0
PSCI,2064,Global Econ and World Politics,Thomas,40349,3,2.67,12,50.0,16.7,0.0,16.7,16.7,0
PSCI,3116,Selected World Problems,Peters,40350,3,3.48,19,73.7,15.8,5.3,0.0,5.3,0
PSYC,2074,Animal Behavior,Hoffman,40364,3,3.64,21,76.2,19.0,4.8,0.0,0.0,0
PSYC,4984,SS: Motivation of Self,Jones,40365,3,3.62,21,66.7,33.3,0.0,0.0,0.0,0
REAL,2984,SS: Principals of Real Estate,Ryan,40368,1,3.73,16,75.0,25.0,0.0,0.0,0.0,0
RLCL,2464,Religion and Science,Ellerbrock,40369,3,3.81,19,84.2,15.8,0.0,0.0,0.0,0
SBIO,3954,Study Abroad,Quesada Pineda,40375,3,3.64,13,61.5,38.5,0.0,0.0,0.0,0
SBIO,2004,CAD in Packaging,Horvath,40403,3,3.88,16,93.8,6.3,0.0,0.0,0.0,0
SOC,2004,Social Problems,Vogt Yuan,40374,3,3.52,13,69.2,23.1,7.7,0.0,0.0,0
SPAN,3524,Intro Spanish Translation,Hesp,40356,3,3.98,16,100.0,0.0,0.0,0.0,0.0,0
STS,2054,Engineering Cultures,Brinkman,40384,3,2.86,14,21.4,57.1,14.3,0.0,7.1,0
UH,3004,TS:Immersive Virtual Envrnmnts,Duer,40360,3,4.00,10,100.0,0.0,0.0,0.0,0.0,0
WGS,1824,Intro Women's & Gender Studies,King,40363,3,2.58,16,18.8,37.5,25.0,12.5,6.3,0

