department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
ACIS,1504,Intro Bus Info Sys,Brown,70066,3,2.79,19,15.8,47.4,36.8,0.0,0.0,0
ACIS,1504,Intro Bus Info Sys,Brown,70067,3,2.65,17,23.5,29.4,35.3,11.8,0.0,0
ACIS,2116,Principles of Accounting,Brown,70068,3,2.33,25,16.0,32.0,36.0,8.0,8.0,0
ACIS,2116,Principles of Accounting,Brown,70069,3,2.28,20,15.0,20.0,50.0,10.0,5.0,0
ACIS,2504,Personal Computers in Business,Brown,70070,3,2.93,12,33.3,50.0,8.3,0.0,8.3,0
ACIS,3116,Intermediate Financial Acct,Brown,70071,3,2.17,28,17.9,28.6,21.4,21.4,10.7,0
ACIS,3116,Intermediate Financial Acct,Brown,70072,3,2.41,30,13.3,30.0,36.7,20.0,0.0,0
ACIS,3414,"Auditing, Governance & Ethics",Brown,70073,3,2.85,34,17.6,58.8,23.5,0.0,0.0,0
ACIS,4314,Principles of Taxation,Brown,71424,3,3.00,22,18.2,63.6,18.2,0.0,0.0,0
AFST,1814,Intro to African Studies,Akoma,71484,3,3.77,21,81.0,19.0,0.0,0.0,0.0,0
AOE,3104,Aircraft Performance,Marchman,70100,3,3.08,26,34.6,42.3,19.2,3.8,0.0,0
ARCH,5756,Advanced Design Laboratory,Schnoedt,70138,3,3.25,20,35.0,50.0,15.0,0.0,0.0,0
ARCH,2984,SS:Qualifying Design Lab,Albright,71512,3,3.30,48,35.4,58.3,6.3,0.0,0.0,0
ARCH,4766,Building Technology,Pittman,71556,3,3.60,19,63.2,36.8,0.0,0.0,0.0,0
ART,2386,Surv Hist West Art,Moseley Christian,71400,3,2.71,15,40.0,13.3,26.7,20.0,0.0,0
BC,2014,Construction Principles I,Mills,71437,3,3.33,24,37.5,62.5,0.0,0.0,0.0,0
BC,2114,IT in Design and Const,Mills,71164,2,1.79,11,9.1,36.4,9.1,18.2,27.3,0
BIOL,1106,Principles of Biology,Buikema,70162,3,2.47,33,15.2,39.4,30.3,12.1,3.0,0
BIOL,1116,Principles of Biol Lab,Chen,70163,1,3.35,15,46.7,53.3,0.0,0.0,0.0,0
BIOL,1116,Principles of Biol Lab,Friend,70164,1,3.42,12,41.7,58.3,0.0,0.0,0.0,0
BIOL,2504,General Zoology,Sheppard,70166,3,3.49,20,60.0,35.0,5.0,0.0,0.0,0
BIT,2405,Quantitative Methods,Falasca,70174,3,3.14,27,51.9,18.5,22.2,7.4,0.0,0
BIT,2406,Quantitative Methods,Ru,70175,3,3.44,62,61.3,24.2,12.9,1.6,0.0,0
BIT,3414,Prod And Oper Mgt,Arnette,70176,3,2.69,29,20.7,31.0,48.3,0.0,0.0,0
CEE,3604,Intro Transport Engr,Katz,70203,3,3.32,27,63.0,25.9,7.4,0.0,3.7,0
CEE,3684,Civil Engineering Materials,Loulizi,71421,3,3.42,12,41.7,58.3,0.0,0.0,0.0,0
CEE,4014,"Est, Prod & Cost Engr",Sinha,71422,3,3.48,15,60.0,40.0,0.0,0.0,0.0,0
CHE,4014,Chem Engr Laboratory,Durrill,70214,5,3.42,17,52.9,47.1,0.0,0.0,0.0,0
CHEM,1036,General Chemistry,Hermann,70221,3,2.25,42,14.3,28.6,33.3,16.7,7.1,0
CHEM,1046,General Chemistry Lab,Amateis,70222,1,2.98,17,29.4,47.1,17.6,5.9,0.0,0
CHEM,1046,General Chemistry Lab,Amateis,70223,1,2.58,16,6.3,56.3,25.0,12.5,0.0,0
CHEM,2536,Organic Chemistry,Cao,70225,3,2.58,111,15.3,44.1,28.8,7.2,4.5,0
CHEM,2546,Organic Chemistry Laboratory,Hermann,70226,1,2.74,17,35.3,35.3,17.6,0.0,11.8,0
CHEM,2546,Organic Chemistry Laboratory,Hermann,70227,1,2.70,13,30.8,30.8,30.8,0.0,7.7,0
CHEM,2546,Organic Chemistry Laboratory,Hermann,70228,1,2.67,13,15.4,61.5,7.7,7.7,7.7,0
CHEM,2546,Organic Chemistry Laboratory,Hermann,70229,1,3.18,17,29.4,58.8,11.8,0.0,0.0,0
