department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
AAEC,1005,Econ Food Fiber Sys,Ellerbrock,80060,3,2.51,241,24.5,30.3,28.6,9.1,7.5,16
AAEC,1006,Econ Food Fiber Syst,Ellerbrock,80061,3,2.67,245,22.9,40.0,21.6,12.2,3.3,13
AAEC,2104,Personal Financial Planning,White,80062,3,3.29,288,48.3,39.9,7.6,2.8,1.4,5
AAEC,2434,Foundations of Agribusiness,Neill,80063,3,3.61,102,78.4,15.7,2.0,2.0,2.0,0
AAEC,3004,Agr Prod & Cons Econ,Larochelle,80066,3,2.64,38,42.1,21.1,13.2,15.8,7.9,0
AAEC,3015,AAEC Internship,Dickhans,80067,1,3.62,41,82.9,7.3,7.3,0.0,2.4,1
AAEC,3015,AAEC Internship,Dickhans,80068,1,3.57,29,72.4,17.2,6.9,3.4,0.0,0
AAEC,3204,Intl Agri Dvlp & Trad,Norton,80069,3,3.25,59,45.8,40.7,11.9,1.7,0.0,1
AAEC,3504,Marketing Ag Products,Marchant,80070,3,3.56,80,65.0,31.3,3.8,0.0,0.0,0
AAEC,3514,Ag Futures,Isengildina Massa,80071,3,2.85,47,34.0,27.7,29.8,8.5,0.0,1
AAEC,3604,Agricultural Law,Geyer,80072,3,2.97,87,33.3,36.8,27.6,0.0,2.3,4
AAEC,4204,Food and Agricultural Policy,Pease,80073,3,2.90,24,33.3,41.7,12.5,0.0,12.5,1
AAEC,4324,Rural Regional Dvlp Policy,Alwang,80074,3,2.44,36,25.0,30.6,25.0,8.3,11.1,1
AAEC,4424,Ag Financial Management,Ramsey,80075,3,3.21,42,33.3,52.4,14.3,0.0,0.0,0
AAEC,4754,Real Estate Law,Geyer,80077,3,3.13,98,34.7,54.1,10.2,0.0,1.0,1
AAEC,5025,Applied Microeconomic,Mills,80082,3,3.67,11,72.7,27.3,0.0,0.0,0.0,0
AAEC,5154,Int Agr Dvlp & Trade,Norton,80084,3,3.74,10,80.0,20.0,0.0,0.0,0.0,0
AAEC,2104,Personal Financial Planning,White,89692,3,3.15,140,37.9,45.0,13.6,1.4,2.1,1
AAEC,2984,SS:Cmptr Apps in Ag&Life Sci,White,90078,3,3.32,26,50.0,30.8,15.4,3.8,0.0,2
ACIS,4314,Principles of Taxation,Huang,90175,3,3.26,23,43.5,47.8,8.7,0.0,0.0,0
ACIS,2116,Principles of Accounting,Truelson,89460,3,2.33,19,5.3,42.1,31.6,21.1,0.0,1
ACIS,3115,Intermediate Financial Acct,Hillison,89461,3,2.47,30,10.0,40.0,33.3,13.3,3.3,6
ACIS,5444,Forensic & Investigative Acctg,Rogers,89384,3,3.60,21,66.7,33.3,0.0,0.0,0.0,0
ACIS,2115,Principles of Accounting,Almond,89428,3,2.77,33,18.2,57.6,15.2,3.0,6.1,1
ACIS,1004,Accounting Foundations,Lacoste,88262,3,3.15,111,49.5,27.0,15.3,3.6,4.5,5
ACIS,5154,Financials and Controls,Bhattacharjee,88348,3,3.61,23,60.9,39.1,0.0,0.0,0.0,0
ACIS,2504,Personal Computers in Business,Easterwood,88619,3,2.79,146,21.9,45.9,25.3,3.4,3.4,5
ACIS,3116,Intermediate Financial Acct,Shortt,88620,3,3.03,24,25.0,54.2,20.8,0.0,0.0,1
ACIS,1504,Intro to Bus Analytics & BI,Martin,80096,3,3.43,253,58.5,31.2,8.3,0.8,1.2,4
ACIS,1504,Intro to Bus Analytics & BI,Martin,80097,3,3.41,257,54.1,34.6,9.3,1.6,0.4,3
ACIS,1504,Intro to Bus Analytics & BI,Martin,80098,3,3.47,258,57.8,33.7,8.1,0.4,0.0,3
ACIS,1504,Intro to Bus Analytics & BI,Martin,80099,3,3.50,253,62.1,31.6,4.3,1.6,0.4,4
ACIS,2115,Principles of Accounting,Almond,80100,3,2.88,33,27.3,48.5,18.2,3.0,3.0,1
ACIS,2115,Principles of Accounting,Almond,80101,3,2.60,34,20.6,38.2,32.4,0.0,8.8,1
ACIS,2115,Principles of Accounting,Almond,80102,3,2.70,31,12.9,48.4,38.7,0.0,0.0,3
