department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
ACIS,1504,Intro Bus Info Sys,Brown,60068,3,2.47,30,20.0,26.7,36.7,16.7,0.0,0
ACIS,2115,Principles of Accounting,Easterwood,60069,3,2.64,23,26.1,26.1,39.1,4.3,4.3,0
ACIS,2115,Principles of Accounting,Easterwood,60070,3,2.98,21,28.6,61.9,0.0,4.8,4.8,0
ACIS,2115,Principles of Accounting,Easterwood,60071,3,2.58,17,35.3,0.0,47.1,17.6,0.0,0
ACIS,2116,Principles of Accounting,Jenkins,60072,3,2.73,19,15.8,63.2,15.8,0.0,5.3,0
ACIS,2116,Principles of Accounting,Jenkins,60073,3,2.78,19,21.1,36.8,36.8,5.3,0.0,0
ACIS,2116,Principles of Accounting,Jenkins,60074,3,2.74,20,20.0,35.0,45.0,0.0,0.0,0
ACIS,2504,Personal Computers in Business,Brown,60076,3,2.62,11,9.1,45.5,36.4,0.0,9.1,0
ACIS,3115,Intermediate Financial Acct,Brozovsky,60078,3,2.27,21,4.8,33.3,47.6,9.5,4.8,0
ACIS,3115,Intermediate Financial Acct,Brozovsky,60079,3,2.42,21,14.3,23.8,57.1,4.8,0.0,0
ACIS,3314,Tax Impact on Decisions,Hicks,60080,3,3.53,17,52.9,47.1,0.0,0.0,0.0,0
ACIS,3504,Acct Sys and Controls,Brown,60081,3,2.46,24,0.0,54.2,41.7,0.0,4.2,0
ACIS,4214,Cost Planning and Control,Brown,60088,3,3.03,13,38.5,38.5,15.4,7.7,0.0,0
ACIS,4314,Principles of Taxation,Hicks,60089,3,3.12,19,36.8,47.4,15.8,0.0,0.0,0
ACIS,4414,Financial Statement Auditing,Jenkins,60090,3,3.33,20,50.0,45.0,5.0,0.0,0.0,0
ACIS,5124,Govt & Nfp Acctg,Easterwood,60093,3,3.56,14,64.3,35.7,0.0,0.0,0.0,0
AFST,1714,Intro African American Studies,Wyse,61972,3,3.31,13,30.8,69.2,0.0,0.0,0.0,0
AHRM,2504,Resource Mgt Indiv/Families,Fisher,61881,3,2.38,16,37.5,6.3,18.8,37.5,0.0,0
ALHR,5544,Small Groups in Adult Learning,Morris,61866,3,3.87,10,90.0,10.0,0.0,0.0,0.0,0
AOE,4064,Fluid Flows in Nature,Schetz,61885,3,3.21,11,27.3,63.6,9.1,0.0,0.0,0
AOE,3094,Materials for Aero & Ocean Eng,Corcoran,60122,3,3.16,11,63.6,18.2,9.1,0.0,9.1,0
AOE,3204,Naval Architecture,Wu,60123,3,2.67,11,27.3,45.5,9.1,9.1,9.1,0
ARCH,4055,Envir Bldg Systems,Jones,60151,3,3.88,15,100.0,0.0,0.0,0.0,0.0,0
ARCH,5755,Advanced Design Laboratory,Weiner,60180,3,3.26,19,31.6,63.2,5.3,0.0,0.0,0
ARCH,4076,Building Structures,Setareh,61843,3,3.33,17,52.9,35.3,5.9,0.0,5.9,0
ARCH,3514,TS:Design in Digital Age-Tools,Balster,61845,3,3.51,14,57.1,42.9,0.0,0.0,0.0,0
