department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
EDCI,5334,Conducting Literacy Inquiry,Barksdale,71529,3,4.00,10,100.0,0.0,0.0,0.0,0.0,0
EDCI,5784,GS:Res Asses/Diagno Math Clsrm,Kreye,71491,3,4.00,20,100.0,0.0,0.0,0.0,0.0,0
EDCI,5154,Psych Foundations for Teachers,Jones,71493,3,3.58,17,70.6,23.5,5.9,0.0,0.0,0
EDCI,5114,Advanced Educ Psych,Jones,71182,3,3.55,13,61.5,38.5,0.0,0.0,0.0,0
EDCI,5314,Educ Appl Micros,Halpin,71184,3,3.94,16,93.8,6.3,0.0,0.0,0.0,0
EDCI,5564,TS:Graphic Des.-- Elec. Pres.,Potter,71185,2,4.00,11,100.0,0.0,0.0,0.0,0.0,0
EDCI,5784,GS:Epidemiolgy Substance Abuse,Redican,71201,3,4.00,10,100.0,0.0,0.0,0.0,0.0,0
EDCI,5104,Schooling in American Society,Asselin,70561,3,3.86,19,94.7,0.0,5.3,0.0,0.0,0
EDCI,5264,Comp and Cont Rdg,Phillips,70563,3,4.00,12,100.0,0.0,0.0,0.0,0.0,0
EDCO,5254,Career Dev Info/Servs,Bodenhorn,71208,3,4.00,15,100.0,0.0,0.0,0.0,0.0,0
EDCO,5204,Orient Profsnl Cslg,Lawson,71285,3,3.98,16,100.0,0.0,0.0,0.0,0.0,0
EDCO,5254,Career Dev Info/Servs,Brott,71341,3,4.00,12,100.0,0.0,0.0,0.0,0.0,0
EDCO,5364,School Counseling,Blumenthal,71525,3,4.00,14,100.0,0.0,0.0,0.0,0.0,0
EDCO,6534,DSM Application in Counseling,Welfare,71526,3,3.98,17,100.0,0.0,0.0,0.0,0.0,0
EDCO,6534,DSM Application in Counseling,Ford,71527,3,3.82,11,81.8,18.2,0.0,0.0,0.0,0
EDCT,5614,Curriculum in Development CTE,Price,71531,3,4.00,28,100.0,0.0,0.0,0.0,0.0,0
