department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
AAEC,1005,Econ Food Fiber Sys,Stephenson,90060,3,2.66,138,16.7,44.2,26.1,10.1,2.9,6
AAEC,1005,Econ Food Fiber Sys,Tanellari,90061,3,2.33,132,12.9,31.1,37.9,12.1,6.1,8
AAEC,1006,Econ Food Fiber Syst,Ellerbrock,90062,3,2.93,144,38.2,31.3,20.1,5.6,4.9,0
AAEC,2104,Personal Financial Planning,White,90063,3,3.31,132,48.5,39.4,9.1,3.0,0.0,2
AAEC,2424,Co-ops & Humanity,Guthrie,90064,3,3.70,51,72.5,21.6,5.9,0.0,0.0,0
AAEC,2434,Foundations in Agribusiness,Ferreira,90065,3,3.35,49,55.1,32.7,6.1,4.1,2.0,0
AAEC,3015,AAEC Internship,Marchant,90068,1,3.88,26,92.3,3.8,3.8,0.0,0.0,0
AAEC,3104,Fin Planning for Professionals,Lytton,90071,3,2.64,24,25.0,29.2,33.3,12.5,0.0,0
AAEC,3204,Intl Agri Dvlp & Trad,Norton,90072,3,3.48,55,60.0,32.7,7.3,0.0,0.0,0
AAEC,3504,Marketing Ag Products,Ferreira,90075,3,3.41,59,52.5,35.6,11.9,0.0,0.0,0
AAEC,3604,Agricultural Law,Geyer,90076,3,3.18,72,41.7,33.3,25.0,0.0,0.0,4
AAEC,4104,Retirement Planning,Smith,90077,3,2.98,59,32.2,42.4,23.7,1.7,0.0,0
AAEC,4134,Fin Planning Applications,Lytton,90078,3,2.80,19,21.1,52.6,21.1,5.3,0.0,0
AAEC,4754,Real Estate Law,Geyer,90081,3,3.04,121,28.9,52.9,16.5,0.0,1.7,10
AAEC,5024,Math Prog for Econ,Taylor,90085,3,3.39,15,60.0,33.3,6.7,0.0,0.0,0
AAEC,5025,Applied Microeconomic,Mills,90086,3,3.31,16,50.0,37.5,6.3,6.3,0.0,0
AAEC,5154,Int Agr Dvlp & Trade,Norton,90088,3,3.62,14,64.3,35.7,0.0,0.0,0.0,0
AAEC,4344,Sustainable Dev Econ,Larochelle,97287,3,3.29,34,47.1,41.2,11.8,0.0,0.0,2
AAEC,4324,Rural Regional Dvlp Policy,Alwang,97447,3,2.99,22,36.4,40.9,18.2,0.0,4.5,4
AAEC,3404,Ag Fin Mgt,White,97449,3,3.14,57,29.8,57.9,10.5,1.8,0.0,0
AAEC,5174,Int Agr Development and Trade,Norton,97450,3,3.70,21,66.7,33.3,0.0,0.0,0.0,0
AAEC,2984,SS:Seminar in AAEC,Stephenson,97647,1,4.00,10,100.0,0.0,0.0,0.0,0.0,0
AAEC,4984,SS:Financial Plan Technology,Smith,97883,3,3.06,23,39.1,34.8,21.7,4.3,0.0,0
AAEC,3015,AAEC Internship,Marchant,98370,1,3.82,22,86.4,9.1,4.5,0.0,0.0,0
ACIS,4214,Cost Planning and Control,Ross,98223,3,2.80,19,31.6,42.1,15.8,5.3,5.3,0
ACIS,4344,Tax for Financial Planners,Hicks,98224,3,2.83,38,26.3,47.4,21.1,5.3,0.0,4
ACIS,5104,Fundamentals of Accounting,Brown,97710,3,3.46,54,42.6,57.4,0.0,0.0,0.0,0
